year,week,player_id,player,position,team,points,points_ppr,points_half,passing_attempts,passing_completions,passing_yards,passing_tds
2024,7,3045169,Tim Boyle,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4242546,Davis Mills,QB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,2972515,Cooper Rush,QB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,14163,Tyrod Taylor,QB,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4241464,Mac Jones,QB,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,2565969,Taylor Heinicke,QB,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,3059989,Nick Mullens,QB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4597500,Adonai Mitchell,QB,IND,3.49,5.31,4.4,,,,
2024,7,3115293,Kyle Allen,QB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4240858,Hendon Hooker,QB,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,3916370,Jack Fox,QB,DET,,,,,,,
2024,7,4243322,Jake Haener,QB,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,2969939,Jameis Winston,QB,CLE,0.22,0.22,0.22,0.0,0.0,0.0,0.0
2024,7,2976212,Stefon Diggs,QB,HOU,9.91,15.92,12.92,,,,
2024,7,4374302,Amon-Ra St. Brown,QB,DET,10.1,16.43,13.26,,,,
2024,7,3039707,Mitchell Trubisky,QB,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,11394,Josh Johnson,QB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,11394,Josh Johnson,QB,BAL,0.0,0.0,0.0,,,,
2024,7,15153,Johnny Hekker,QB,CAR,,,,,,,
2024,7,3126486,Deebo Samuel Sr.,QB,SF,10.19,14.48,12.33,,,,
2024,7,4040655,Darnell Mooney,QB,ATL,8.06,12.24,10.15,,,,
2024,7,4242431,Ty Chandler,QB,MIN,5.72,7.38,6.55,,,,
2024,7,4360797,Tutu Atwell,QB,LAR,5.2,8.07,6.63,,,,
2024,7,4595348,Malik Nabers,QB,NYG,9.42,14.92,12.17,,,,
2024,7,2576980,Marcus Mariota,QB,WSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
