Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Qadir Ismail(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Princeton Fant(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
McCallan Castles(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John FitzPatrick(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Pline(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnell Dinkins(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Fotheringham(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Turner(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colson Yankoff(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallin Holker(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Keene(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Martin-Robinson(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquez Branson(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Allen(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Fine(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Culp(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominique Curry(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Parham Jr.(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake Dunsmore(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Latu(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Grandy(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevyn Spann-Ford(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brenden Bates(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brayden Willis(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brady Russell(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Cottam(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Whiteheart(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernhard Seikovits(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baylor Cupp(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew DePaola(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam Jr.(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Ogletree(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
E.J. Jenkins(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tomlinson(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Bates(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Krull(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leroy Watson IV(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ko Kieft(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Yeboah(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Zinger(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Snow(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Hill(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Whyle(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Matthews(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Stephens Jr.(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Samuel Shenker(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Haynos(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feleipe Franks(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jody Fortson Jr.(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Winchester(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mitchell(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Dearth(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Tonges(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaheim Bell(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Westover(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Stoll(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.P. Foschi(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irv Smith Jr.(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Thomas(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Long(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Rucci(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geoff Swaim(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zaire Mitchell-Paden(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Tonyan(FA),,,0.0,0.0,0.0,,
