Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Bub Means(NO),0.4,0.4,0.4,0.4,0.4,0.4,0.4
Nelson Agholor(BAL),0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mack Hollins(BUF),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Tim Patrick(DET),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Braxton Berrios(MIA),0.3,0.3,0.3,0.3,0.3,0.3,0.3
John Metchie III(HOU),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mecole Hardman Jr.(KC),0.2,0.2,0.2,0.2,0.2,0.2,0.2
DJ Turner(LV),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jake Bobo(SEA),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Sterling Shepard(TB),0.2,0.2,0.2,0.2,0.2,0.2,0.2
KhaDarel Hodge(ATL),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Skyy Moore(KC),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cedric Tillman(CLE),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Deonte Harty(BAL),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Derius Davis(LAC),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tyquan Thornton(NE),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ainias Smith(PHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ronnie Bell(SF),0.1,0.1,0.1,0.1,0.1,0.1,0.1
David Moore(CAR),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Robert Woods(HOU),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Parris Campbell(PHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Malik Heath(GB),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kayshon Boutte(NE),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Laviska Shenault Jr.(SEA),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tyler Scott(CHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Velus Jones Jr.(CHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Brandon Powell(MIN),0.1,0.1,0.1,0.1,0.1,0.1,0.1
DeAndre Carter(CHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Trenton Irwin(CIN),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Johnny Wilson(PHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jalen Brooks(DAL),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Isaiah Williams(DET),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Charlie Jones(CIN),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Devin Duvernay(JAC),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chris Conley(SF),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Britain Covey(PHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jacob Cowing(SF),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Scotty Miller(PIT),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jha'Quan Jackson(TEN),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan Flournoy(DAL),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jalen Coker(CAR),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tom Kennedy(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Praise Olatoke(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Jones(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Johnson(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Green(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Edwards(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trishton Jackson(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parker Washington(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Smith(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikko Remigio(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Weaver(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nsimba Webster(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qadir Ismail(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Pascal(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre'Quan Smith(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Dulin(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Westbrook-Ikhine(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Sherfield Sr.(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Hughes(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zavier Scott(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montrell Washington(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Tinsley(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thayer Thomas(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quez Watkins(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Bachman(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terique Owens(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Miller(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Giguere(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Wiglusz(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samori Toure(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seth Williams(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Gould(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simi Fehoko(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyreik McAllister(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod Harper(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Sims Jr.(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJ Luther(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tahj Washington(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Baccellia(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
River Cracraft(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Knue(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrell Shavers(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tay Martin(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
