year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,6,4038941,Justin Herbert,RB,LAC,13.62,13.62,13.62,,,,,,
2024,6,3728262,Ray-Ray McCloud III,RB,ATL,6.05,9.53,7.79,,,,3.48,38.35,0.3
2024,6,16757,Derek Carr,RB,NO,0.0,0.0,0.0,,,,,,
2024,6,3928925,JaMycal Hasty,RB,NE,1.34,1.63,1.48,2.94,8.67,0.04,0.29,1.99,0.01
2024,6,4039607,J.J. Taylor,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4426388,Jameson Williams,RB,DET,7.49,10.89,9.19,,,,3.4,52.29,0.32
2024,6,3925357,Calvin Ridley,RB,TEN,7.18,10.84,9.01,,,,3.66,51.55,0.32
2024,6,4431453,Deuce Vaughn,RB,DAL,0.58,0.78,0.68,0.07,2.82,0.02,0.2,1.55,0.0
2024,6,4248068,Aaron Shampklin,RB,PIT,3.69,4.51,4.1,5.12,21.68,0.13,0.83,5.92,0.04
2024,6,4569587,Wan'Dale Robinson,RB,NYG,7.38,12.88,10.13,,,,5.5,51.0,0.33
2024,6,4362477,Derius Davis,RB,LAC,0.6,0.75,0.67,,,,0.16,1.98,0.02
2024,6,4371733,Kenneth Gainwell,RB,PHI,2.0,2.65,2.32,2.32,9.66,0.07,0.66,4.7,0.04
2024,6,4686472,Marvin Mims Jr.,RB,DEN,1.79,2.81,2.3,,,,1.02,13.34,0.05
2024,6,3046779,Jared Goff,RB,DET,16.53,16.53,16.53,,,,,,
2024,6,4035886,Khalil Herbert,RB,CHI,0.31,0.43,0.37,0.07,1.05,0.01,0.12,0.85,0.01
2024,6,4036378,Jordan Love,RB,GB,18.75,18.75,18.75,,,,,,
2024,6,4037457,Travis Homer,RB,CHI,0.11,0.17,0.14,0.07,0.31,0.0,0.06,0.49,0.01
2024,6,4360238,Dameon Pierce,RB,HOU,2.78,3.14,2.96,3.62,18.34,0.12,0.36,2.66,0.01
2024,6,4429023,MarShawn Lloyd,RB,GB,,,,,,,,,
2024,6,4383396,Hunter Luepke,RB,DAL,1.86,2.97,2.41,1.36,5.81,0.03,1.11,8.47,0.05
2024,6,4569682,Audric Estime,RB,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4597500,Adonai Mitchell,RB,IND,3.41,5.2,4.3,,,,1.79,23.36,0.14
2024,6,4432773,Brian Thomas Jr.,RB,JAX,8.29,12.94,10.61,,,,4.65,61.78,0.34
2024,6,2973405,Kalif Raymond,RB,DET,1.09,1.69,1.39,,,,0.6,7.26,0.05
2024,6,2976212,Stefon Diggs,RB,HOU,9.78,15.46,12.62,,,,5.68,70.53,0.44
2024,6,4431452,Drake Maye,RB,NE,12.46,12.46,12.46,,,,,,
2024,6,4432665,Brock Bowers,RB,LV,,,,,,,,,
