player_name,2024,2023,2022,2021,2020,2019,2018,2017
T.Williams,0.0,0.0,0.0,0.0,0.0,6.0,6.0,15.0
T.Thornton,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
T.Taylor,0.0,0.0,0.0,0.0,2.0,0.0,9.0,5.0
K.Wilkerson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
T.Smith,0.0,0.0,2.0,5.0,5.0,1.0,6.0,8.0
T.Sherfield,0.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0
K.Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
K.Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
L.Bowden,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
L.Carroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L.Fitzgerald,0.0,0.0,0.0,0.0,8.0,12.0,12.0,15.0
M.Johnson,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0
T.King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
M.Mims,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M.Jones,0.0,1.0,10.0,14.0,12.0,12.0,7.0,13.0
S.Mitchell,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S.Watkins,0.0,0.0,1.0,5.0,6.0,11.0,9.0,7.0
S.Smith,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
S.Sims,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
P.Williams,0.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0
Q.Cephus,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Q.Enunwa,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Q.Watkins,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0
S.Roberts,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0
S.Moore,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
K.Golladay,0.0,0.0,1.0,10.0,4.0,13.0,10.0,4.0
R.Bell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
