firstName,lastName,team,week,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct
Tyler,Goodson,IND,5,1,0,0.0,0,16.7%,0,0,0%,0,0,0,0.0%
Miles,Sanders,CAR,5,0,0,0,0,0.0%,1,2,50.0%,0,0.0,0,100.0%
Myles,Gaskin,MIN,5,1,0,0.0,0,33.3%,0,0,0%,0,0,0,0%
Dare,Ogunbowale,HOU,5,1,0,0.0,0,50.0%,0,0,0%,0,0,0,0%
Samaje,Perine,KC,5,0,0,0,0,0.0%,0,1,0.0%,0,0,0,100.0%
Ezekiel,Elliott,DAL,5,1,-1,-1.0,0,25.0%,0,0,0%,0,0,0,0%
Rhamondre,Stevenson,NE,5,2,2,1.0,0,100.0%,1,1,100.0%,-3,-3.0,0,100.0%
Rachaad,White,TB,5,0,0,0,0,0.0%,1,1,100.0%,-2,-2.0,0,50.0%
Tyler,Allgeier,ATL,5,1,-2,-2.0,0,25.0%,0,0,0%,0,0,0,0%
Rico,Dowdle,DAL,5,2,-3,-1.5,0,50.0%,0,0,0%,0,0,0,0%
Eric,Gray,NYG,5,3,2,0.7,0,60.0%,1,2,50.0%,13,13.0,0,100.0%
Jordan,Mason,SF,5,4,7,1.8,0,66.7%,0,0,0%,0,0,0,0%
,,,6,,,,,,,,,,,,
Joe,Mixon,HOU,6,6,20,3.3,1,100.0%,1,2,50.0%,10,10.0,1,100.0%
Bijan,Robinson,ATL,6,4,18,4.5,2,33.3%,1,1,100.0%,4,4.0,0,50.0%
David,Montgomery,DET,6,3,18,6.0,2,60.0%,0,0,0%,0,0,0,0.0%
Derrick,Henry,BAL,6,4,15,3.8,2,80.0%,0,0,0%,0,0,0,0.0%
Bucky,Irving,TB,6,4,24,6.0,1,66.7%,0,0,0%,0,0,0,0%
Walker,III,SEA,6,4,10,2.5,1,100.0%,2,2,100.0%,10,5.0,0,100.0%
,,,6,4,12,3.0,1,80.0%,1,1,100.0%,5,5.0,0,100.0%
Tyler,Allgeier,ATL,6,8,13,1.6,1,66.7%,1,1,100.0%,3,3.0,0,50.0%
Sean,Tucker,TB,6,2,13,6.5,1,33.3%,0,0,0%,0,0,0,0%
Alvin,Kamara,NO,6,2,7,3.5,1,100.0%,1,1,100.0%,1,1.0,0,100.0%
Andre,Swift,CHI,6,2,5,2.5,1,100.0%,0,0,0%,0,0,0,0%
Alexander,Mattison,LV,6,3,4,1.3,1,60.0%,0,0,0%,0,0,0,0%
Kyle,Juszczyk,SF,6,1,6,6.0,1,12.5%,1,1,100.0%,-3,-3.0,0,50.0%
,,,6,1,1,1.0,1,100.0%,0,0,0%,0,0,0,0%
Ray,Davis,BUF,6,6,27,4.5,0,100.0%,0,0,0%,0,0,0,0%
Tyler,Goodson,IND,6,2,4,2.0,0,40.0%,1,1,100.0%,13,13.0,0,100.0%
Miles,Sanders,CAR,6,1,2,2.0,0,25.0%,1,1,100.0%,12,12.0,0,33.3%
,,,6,4,13,3.3,0,50.0%,0,0,0%,0,0,0,0.0%
Jahmyr,Gibbs,DET,6,2,6,3.0,0,40.0%,1,1,100.0%,5,5.0,0,100.0%
Antonio,Gibson,NE,6,1,4,4.0,0,50.0%,1,1,100.0%,7,7.0,0,100.0%
Tony,Pollard,TEN,6,2,11,5.5,0,100.0%,0,0,0%,0,0,0,0%
Chuba,Hubbard,CAR,6,3,3,1.0,0,75.0%,2,2,100.0%,7,3.5,0,66.7%
Tank,Bigsby,JAC,6,2,5,2.5,0,50.0%,0,0,0%,0,0,0,0%
Emari,Demercado,ARI,6,0,0,0,0,0.0%,1,1,100.0%,4,4.0,0,100.0%
Najee,Harris,PIT,6,2,4,2.0,0,66.7%,0,0,0%,0,0,0,0%
Ernest,Johnson,JAC,6,2,4,2.0,0,50.0%,0,0,0%,0,0,0,0%
Josh,Jacobs,GB,6,1,4,4.0,0,100.0%,0,0,0%,0,0,0,0%
Justice,Hill,BAL,6,1,2,2.0,0,20.0%,1,1,100.0%,2,2.0,0,100.0%
Jordan,Mason,SF,6,1,3,3.0,0,12.5%,0,1,0.0%,0,0,0,50.0%
James,Conner,ARI,6,1,2,2.0,0,100.0%,0,0,0%,0,0,0,0.0%
Braelon,Allen,NYJ,6,1,2,2.0,0,50.0%,0,0,0%,0,0,0,0.0%
Breece,Hall,NYJ,6,1,0,0.0,0,50.0%,1,2,50.0%,1,1.0,0,100.0%
Austin,Ekeler,WAS,6,1,0,0.0,0,100.0%,0,0,0%,0,0,0,0%
