year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,7,15847,Travis Kelce,RB,KC,,,,,,,,,
2024,7,2972515,Cooper Rush,RB,DAL,0.0,0.0,0.0,,,,,,
2024,7,4243160,Laviska Shenault Jr.,RB,SEA,0.86,1.42,1.14,,,,0.57,5.53,0.02
2024,7,4428331,Rashee Rice,RB,KC,,,,,,,,,
2024,7,4567156,Treylon Burks,RB,TEN,1.22,1.99,1.61,,,,0.77,9.66,0.04
2024,7,3059989,Nick Mullens,RB,MIN,0.0,0.0,0.0,,,,,,
2024,7,3917960,Steven Sims,RB,HOU,,,,,,,,,
2024,7,3931395,Jake Bailey,RB,MIA,,,,,,,,,
2024,7,4366963,Dylan Laube,RB,LV,0.72,0.95,0.84,1.24,4.06,0.02,0.23,1.73,0.01
2024,7,4430637,Ja'Lynn Polk,RB,NE,3.69,5.95,4.82,,,,2.26,27.54,0.16
2024,7,4595348,Malik Nabers,RB,NYG,9.42,14.92,12.17,,,,5.5,67.56,0.41
2024,7,5097554,Kameron Johnson,RB,TB,0.17,0.29,0.23,,,,0.11,1.34,0.01
2024,7,12483,Matthew Stafford,RB,LAR,14.43,14.43,14.43,,,,,,
2024,7,2574511,Brandon Allen,RB,SF,0.0,0.0,0.0,,,,,,
2024,7,3054212,Jonnu Smith,RB,MIA,,,,,,,,,
2024,7,3886818,Myles Gaskin,RB,MIN,1.29,1.61,1.45,2.07,7.17,0.05,0.32,2.16,0.01
2024,7,4240858,Hendon Hooker,RB,DET,0.0,0.0,0.0,,,,,,
2024,7,4688813,Josh Downs,RB,IND,7.17,11.81,9.49,,,,4.64,52.69,0.31
2024,7,4034946,Kyle Trask,RB,TB,0.0,0.0,0.0,,,,,,
2024,7,3039707,Mitchell Trubisky,RB,BUF,0.0,0.0,0.0,,,,,,
2024,7,4243331,Cade Otton,RB,TB,,,,,,,,,
2024,7,4369863,Cedric Tillman,RB,CLE,3.67,6.06,4.87,,,,2.39,27.39,0.15
2024,7,4360175,Clayton Tune,RB,ARI,0.0,0.0,0.0,,,,,,
2024,7,14880,Kirk Cousins,RB,ATL,16.92,16.92,16.92,,,,,,
2024,7,4434153,Tyson Bagent,RB,CHI,0.0,0.0,0.0,,,,,,
2024,7,4426354,George Pickens,RB,PIT,8.18,12.58,10.38,,,,4.4,61.1,0.36
