season,season_type,week,player_id,player_name,position,position_group,recent_team,mfl_id,sportradar_id,fantasypros_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,player_display_name,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_rat
2017,REG,1,00-0032004,W.Tye,TE,TE,NYJ,12532,9ace8914-bf2c-422a-af03-62a78bc27880,14439.0,10070.0,3043.0,willtye/2553830,2512523.0,29046.0,,2175071.0,,,10700.0,11056.0,,29046.0,553297.0,17754.0,,Will Tye,will tye,3,3,34.0,0,0.0,0.0,15.0,19.0,1.0,2.60261,0,2.2666667,0.078947365,0.07772021,0.1728252,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0027656,R.Gronkowski,TE,TE,NE,9902,2142a164-48ad-47d6-bb27-0bc58c6b2e62,9721.0,5567.0,515.0,robgronkowski/497240,13229.0,24017.0,,1244303.0,GronRo00,rob-gronkowski-1,6443.0,5729.0,,24017.0,381091.0,10974.0,381091.0,Rob Gronkowski,rob gronkowski,2,6,33.0,0,0.0,0.0,113.0,4.0,2.0,2.5332696,0,0.2920354,0.16666667,0.19929454,0.38950616,Rob Gronkowski,NE,2.911666666666667,1.4178775706927595,18.875,20.85289730983815,33.33333333333333,33.0,0.0,3.8099999999999987,2.6909389136021673,1.1190610863978314,00-0027656,Robert,Gronkowski,R.Gronkowski,,,,,,,,,
2017,REG,1,00-0030422,D.Sims,TE,TE,CHI,11249,9c04a540-cb7c-41dc-8e7c-50b7af29a3a2,11691.0,7888.0,1357.0,dionsims/2540200,15974.0,26729.0,,1700507.0,SimsDi00,dion-sims-1,8784.0,8532.0,,26729.0,511525.0,14876.0,,Dion Sims,dion sims,2,3,31.0,0,0.0,0.0,4.0,20.0,2.0,2.0049875,0,7.75,0.075,0.023121387,0.12868497,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033288,G.Kittle,TE,TE,SF,13299,2ada91b0-036e-454f-83c3-6d939ff584a9,16499.0,11901.0,4217.0,,3040151.0,30259.0,,2818265.0,KittGe00,george-kittle-1,11892.0,12276.0,298.0,30259.0,733672.0,19063.0,733672.0,George Kittle,george kittle,5,6,27.0,0,0.0,0.0,22.0,17.0,1.0,-6.679084,0,1.2272727,0.17142858,0.08627451,0.317535,George Kittle,SF,4.88,2.076971437017971,3.603333333333334,8.293375273313131,83.33333333333334,27.0,0.0,3.4179999999999993,2.906738707707359,0.5112612922926401,00-0033288,George,Kittle,G.Kittle,,,,,,,,,
2017,REG,1,00-0027981,K.Rudolph,TE,TE,MIN,10312,1059e9dc-97df-4643-9116-883a0573d8b1,9906.0,6195.0,943.0,kylerudolph/2495438,14054.0,24830.0,7444.0,1633122.0,RudoKy00,kyle-rudolph-1,7246.0,6459.0,,24830.0,469472.0,13275.0,469472.0,Kyle Rudolph,kyle rudolph,3,3,26.0,1,0.0,0.0,23.0,3.0,1.0,2.7445343,0,1.1304348,0.09375,0.09623431,0.20798902,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0031690,E.Tomlinson,TE,TE,NYJ,13065,b3d7169b-9cf6-4fea-815a-26e4fb0ec16a,14339.0,9786.0,2755.0,,2511973.0,28658.0,,1759992.0,TomlEr01,,10553.0,10747.0,,28658.0,554431.0,17223.0,554431.0,Eric Tomlinson,eric tomlinson,2,2,25.0,0,0.0,0.0,20.0,5.0,1.0,1.4305707,0,1.25,0.05263158,0.103626944,0.15148623,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032117,N.O'Leary,TE,TE,BUF,12207,c257b2e6-dfc9-45c8-b30c-a497f2ce82a2,13957.0,9627.0,2495.0,,2576804.0,28582.0,,1860760.0,OLeaNi00,nick-oleary-1,10250.0,10568.0,,28582.0,605423.0,16954.0,,Nick O'Leary,nick oleary,1,2,22.0,0,0.0,0.0,18.0,15.0,1.0,1.5148867,0,1.2222222,0.074074075,0.09836066,0.17996357,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032055,D.Funchess,TE,TE,CAR,12205,7f5f2a81-ac40-420c-9421-5b9e2a21faf8,13915.0,9474.0,2346.0,,2977609.0,28429.0,,2001877.0,FuncDe00,devin-funchess-1,10138.0,10391.0,,28429.0,696127.0,16802.0,696127.0,Devin Funchess,devin funchess,2,2,20.0,0,0.0,0.0,15.0,5.0,1.0,1.6558809,0,1.3333334,0.083333336,0.06912442,0.1733871,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032227,J.Heuerman,TE,TE,DEN,12208,1fe3aadd-336b-4838-888e-8c9609747afc,13961.0,9525.0,2397.0,jeffheuerman/2552399,2576389.0,28480.0,,1824413.0,HeueJe00,jeff-heuerman-1,10246.0,10492.0,,28480.0,593517.0,16853.0,,Jeff Heuerman,jeff heuerman,1,2,20.0,0,0.0,0.0,14.0,5.0,1.0,0.72814256,0,1.4285715,0.071428575,0.06763285,0.15448585,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033885,D.Njoku,TE,TE,CLE,13192,8f86fcea-90e8-49ea-bc78-5c7659313e57,16399.0,11784.0,4033.0,,3123076.0,30142.0,,2136474.0,NjokDa00,david-njoku-1,11734.0,12186.0,252.0,30142.0,832098.0,18876.0,832098.0,David Njoku,david njoku,2,2,20.0,0,0.0,0.0,12.0,8.0,1.0,3.0329993,0,1.6666666,0.06666667,0.034188036,0.123931624,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0025418,G.Olsen,TE,TE,CAR,8687,587d0a98-7ec5-45a5-adba-8af26e8f256b,9238.0,3647.0,58.0,gregolsen/2495700,10475.0,8285.0,,502524.0,OlseGr00,greg-olsen-1,5206.0,4190.0,,8285.0,230925.0,1658.0,,Greg Olsen,greg olsen,2,4,18.0,0,0.0,0.0,40.0,0.0,1.0,-0.00026783015,0,0.45,0.16666667,0.1843318,0.37903225,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0027985,L.Kendricks,TE,TE,GB,10318,27921351-a775-4649-bd49-7b4c486d1ba2,9912.0,6199.0,964.0,lancekendricks/2495187,14007.0,24834.0,7425.0,1117803.0,KendLa00,lance-kendricks-1,7412.0,6614.0,,24834.0,332066.0,13386.0,,Lance Kendricks,lance kendricks,2,4,18.0,0,0.0,0.0,11.0,6.0,0.0,-6.0389066,0,1.6363636,0.0952381,0.038062282,0.16950074,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0031951,J.O'Shaughnessy,TE,TE,JAX,12330,e5c6b0d4-3e77-422b-a6d8-574a10ed385e,14146.0,9606.0,2476.0,,2508079.0,28561.0,,2174148.0,O'ShJa00,,10249.0,10549.0,,28561.0,552352.0,16933.0,552352.0,James O'Shaughnessy,james oshaughnessy,1,1,18.0,0,0.0,0.0,5.0,13.0,1.0,1.6161333,0,3.6,0.04761905,0.028901733,0.091659784,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0021547,A.Gates,TE,TE,LAC,7236,82da09c2-e542-4f7d-87d9-24dfd8e014de,9027.0,1609.0,322.0,antoniogates/2505299,5362.0,6663.0,,396811.0,,,3172.0,611.0,,6663.0,234249.0,7884.0,,Antonio Gates,antonio gates,2,3,17.0,0,0.0,0.0,16.0,8.0,1.0,0.3030615,0,1.0625,0.09090909,0.08080808,0.1929293,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033110,T.Higbee,TE,TE,LA,12678,0df7912d-9e81-47ea-b4f7-d04986df4ee8,15623.0,10744.0,3271.0,,2573401.0,29344.0,,1853103.0,HigbTy00,tyler-higbee-1,10854.0,11430.0,159.0,29344.0,604176.0,18032.0,604176.0,Tyler Higbee,tyler higbee,2,3,17.0,0,0.0,0.0,22.0,5.0,1.0,1.19658,0,0.77272725,0.1,0.088,0.2116,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0027873,J.Gresham,TE,TE,ARI,9838,b44773b9-af17-4d6c-a453-132e20849712,9685.0,5546.0,530.0,jermainegresham/497238,13228.0,23996.0,,1123667.0,GresJe00,jermaine-gresham-1,6455.0,5549.0,,23996.0,333278.0,11026.0,,Jermaine Gresham,jermaine gresham,3,4,15.0,0,0.0,0.0,25.0,4.0,1.0,-0.3754959,0,0.6,0.08510638,0.059382424,0.16922727,,,,,,,,,,,,,,,,,,,,,,,,,
