Player,REC_rz,TGT_rz,REC PCT_rz,Y/R_rz,TGT PCT_rz,Year,Week
Larry Fitzgerald (FA),2,3,66.7%,9.0,60.0%,2018,8
A.J. Green (FA),1,1,100.0%,17.0,50.0%,2018,8
David Moore (CAR),1,1,100.0%,15.0,50.0%,2018,8
Dede Westbrook (FA),1,3,33.3%,11.0,60.0%,2018,8
Tyler Boyd (TEN),1,1,100.0%,9.0,50.0%,2018,8
Christian Kirk (JAC),1,1,100.0%,9.0,20.0%,2018,8
Brandon LaFell (FA),1,1,100.0%,6.0,100.0%,2018,8
Stefon Diggs (HOU),2,2,100.0%,2.0,40.0%,2018,8
Anthony Miller (BAL),1,1,100.0%,4.0,100.0%,2018,8
DeAndre Hopkins (KC),2,2,100.0%,2.0,66.7%,2018,8
Antonio Callaway (FA),1,1,100.0%,1.0,33.3%,2018,8
Antonio Brown (FA),1,1,100.0%,1.0,50.0%,2018,8
Adam Thielen (CAR),2,2,100.0%,2.5,40.0%,2018,8
Adam Humphries (FA),2,2,100.0%,11.0,25.0%,2018,8
Nelson Agholor (BAL),0,1,0.0%,0.0,100.0%,2018,8
Bennie Fowler III (FA),1,2,50.0%,13.0,50.0%,2018,8
DJ Moore (CHI),0,0,0%,0.0,0.0%,2018,8
Demaryius Thomas (FA),1,2,50.0%,10.0,100.0%,2018,8
Kendrick Bourne (NE),1,1,100.0%,8.0,100.0%,2018,8
Julian Edelman (FA),1,1,100.0%,7.0,100.0%,2018,8
Chad Williams (FA),1,1,100.0%,7.0,20.0%,2018,8
Jarvis Landry (FA),2,2,100.0%,3.0,66.7%,2018,8
Golden Tate (FA),1,3,33.3%,6.0,75.0%,2018,8
Laquon Treadwell (IND),1,1,100.0%,5.0,20.0%,2018,8
William Fuller V (FA),1,1,100.0%,4.0,33.3%,2018,8
JuJu Smith-Schuster (KC),1,1,100.0%,3.0,50.0%,2018,8
Donte Moncrief (FA),1,1,100.0%,3.0,20.0%,2018,8
Austin Carr (FA),0,1,0.0%,0.0,100.0%,2018,8
DeSean Jackson (FA),0,1,0.0%,0.0,12.5%,2018,8
Chris Godwin (TB),0,1,0.0%,0.0,12.5%,2018,8
Chester Rogers (FA),0,0,0%,0.0,0.0%,2018,8
Jakeem Grant Sr. (FA),0,1,0.0%,0.0,100.0%,2018,8
Sterling Shepard (TB),0,1,0.0%,0.0,25.0%,2018,8
Dontrelle Inman (FA),0,1,0.0%,0.0,25.0%,2018,8
John Brown (FA),0,1,0.0%,0.0,100.0%,2018,8
Odell Beckham Jr. (FA),0,1,0.0%,0.0,25.0%,2018,8
Mike Evans (TB),0,4,0.0%,0.0,50.0%,2018,8
T.Y. Hilton (FA),0,3,0.0%,0.0,75.0%,2018,8
Doug Baldwin (FA),0,1,0.0%,0.0,50.0%,2018,8
DJ Chark Jr. (LAC),0,1,0.0%,0.0,20.0%,2018,8
Devin Funchess (FA),1,1,100.0%,-1.0,100.0%,2018,8
Curtis Samuel (BUF),1,1,100.0%,19.0,50.0%,2018,9
Adam Humphries (FA),2,2,100.0%,5.5,66.7%,2018,9
DeAndre Hopkins (KC),1,1,100.0%,16.0,100.0%,2018,9
Tyrell Williams (FA),1,1,100.0%,12.0,50.0%,2018,9
Jaron Brown (FA),1,1,100.0%,10.0,33.3%,2018,9
Antonio Brown (FA),1,3,33.3%,6.0,60.0%,2018,9
Kendrick Bourne (NE),2,2,100.0%,3.0,66.7%,2018,9
Adam Thielen (CAR),2,2,100.0%,2.5,100.0%,2018,9
Tre'Quan Smith (FA),1,1,100.0%,4.0,50.0%,2018,9
Amari Cooper (BUF),1,4,25.0%,4.0,66.7%,2018,9
Brandin Cooks (DAL),1,1,100.0%,4.0,100.0%,2018,9
Josh Doctson (FA),1,2,50.0%,2.0,50.0%,2018,9
Davante Adams (NYJ),1,2,50.0%,2.0,66.7%,2018,9
Maurice Harris (FA),1,1,100.0%,18.0,25.0%,2018,9
Kelvin Benjamin (FA),2,2,100.0%,5.5,66.7%,2018,9
Marvin Jones Jr. (FA),1,1,100.0%,10.0,100.0%,2018,9
JuJu Smith-Schuster (KC),1,2,50.0%,9.0,40.0%,2018,9
Taywan Taylor (FA),1,1,100.0%,8.0,33.3%,2018,9
Phillip Dorsett II (ATL),1,1,100.0%,7.0,16.7%,2018,9
Keenan Allen (CHI),1,1,100.0%,6.0,50.0%,2018,9
Anthony Miller (BAL),1,1,100.0%,6.0,100.0%,2018,9
Corey Davis (FA),1,2,50.0%,5.0,66.7%,2018,9
Zay Jones (ARI),1,1,100.0%,4.0,33.3%,2018,9
Devin Funchess (FA),1,1,100.0%,3.0,50.0%,2018,9
Randall Cobb (FA),1,1,100.0%,3.0,33.3%,2018,9
Sammy Watkins (FA),0,0,0%,0.0,0%,2018,9
Robert Woods (HOU),0,0,0%,0.0,0.0%,2018,9
David Moore (CAR),0,2,0.0%,0.0,66.7%,2018,9
Michael Gallup (FA),0,1,0.0%,0.0,16.7%,2018,9
Chris Godwin (TB),0,1,0.0%,0.0,33.3%,2018,9
Julian Edelman (FA),0,2,0.0%,0.0,33.3%,2018,9
Michael Thomas (FA),0,1,0.0%,0.0,50.0%,2018,9
Michael Crabtree (FA),0,1,0.0%,0.0,50.0%,2018,9
John Brown (FA),0,1,0.0%,0.0,50.0%,2018,9
Paul Richardson Jr. (FA),0,1,0.0%,0.0,25.0%,2018,9
Jarvis Landry (FA),0,0,0%,0.0,0%,2018,9
Marquise Goodwin (FA),0,1,0.0%,0.0,33.3%,2018,9
Chris Hogan (FA),0,1,0.0%,0.0,16.7%,2018,9
Cole Beasley (FA),0,1,0.0%,0.0,16.7%,2018,9
Josh Gordon (FA),0,2,0.0%,0.0,33.3%,2018,9
Terrelle Pryor Sr. (FA),0,0,0%,0.0,0.0%,2018,9
Damion Ratley (FA),0,0,0%,0.0,0%,2018,9
Michael Thomas (FA),5,5,100.0%,9.8,100.0%,2018,10
Odell Beckham Jr. (FA),2,4,50.0%,15.0,66.7%,2018,10
Zay Jones (ARI),3,3,100.0%,8.7,50.0%,2018,10
Tyreek Hill (MIA),2,2,100.0%,9.0,100.0%,2018,10
Brandin Cooks (DAL),1,2,50.0%,7.0,66.7%,2018,10
Keenan Allen (CHI),1,1,100.0%,11.0,50.0%,2018,10
Davante Adams (NYJ),1,3,33.3%,7.0,100.0%,2018,10
Josh Doctson (FA),1,1,100.0%,6.0,50.0%,2018,10
Kenny Golladay (FA),1,1,100.0%,5.0,100.0%,2018,10
Sterling Shepard (TB),1,1,100.0%,3.0,16.7%,2018,10
John Ross (FA),1,1,100.0%,2.0,100.0%,2018,10
Julio Jones (FA),1,3,33.3%,1.0,75.0%,2018,10
Dede Westbrook (FA),2,4,50.0%,9.0,100.0%,2018,10
Allen Hurns (FA),1,1,100.0%,17.0,33.3%,2018,10
Amari Cooper (BUF),1,2,50.0%,10.0,66.7%,2018,10
Brandon LaFell (FA),1,3,33.3%,10.0,75.0%,2018,10
Michael Floyd (FA),1,1,100.0%,9.0,50.0%,2018,10
Jermaine Kearse (FA),1,1,100.0%,8.0,100.0%,2018,10
Golden Tate (FA),0,1,0.0%,0.0,33.3%,2018,10
Ryan Grant (FA),1,1,100.0%,6.0,33.3%,2018,10
Julian Edelman (FA),1,1,100.0%,5.0,100.0%,2018,10
Kendrick Bourne (NE),1,1,100.0%,3.0,50.0%,2018,10
Doug Baldwin (FA),1,1,100.0%,3.0,100.0%,2018,10
Tyrell Williams (FA),1,1,100.0%,3.0,50.0%,2018,10
Martavis Bryant (FA),0,0,0%,0.0,0.0%,2018,10
Anthony Miller (BAL),1,1,100.0%,1.0,50.0%,2018,10
Nelson Agholor (BAL),1,1,100.0%,1.0,33.3%,2018,10
Chris Godwin (TB),0,0,0%,0.0,0.0%,2018,10
Dante Pettis (NO),0,1,0.0%,0.0,50.0%,2018,10
Corey Davis (FA),0,2,0.0%,0.0,66.7%,2018,10
JuJu Smith-Schuster (KC),0,1,0.0%,0.0,100.0%,2018,10
Chester Rogers (FA),0,1,0.0%,0.0,33.3%,2018,10
Christian Kirk (JAC),0,1,0.0%,0.0,50.0%,2018,10
Danny Amendola (FA),0,1,0.0%,0.0,50.0%,2018,10
Bennie Fowler III (FA),0,1,0.0%,0.0,16.7%,2018,10
Tajae Sharpe (FA),0,1,0.0%,0.0,33.3%,2018,10
Adam Humphries (FA),0,1,0.0%,0.0,50.0%,2018,10
DeVante Parker (FA),0,1,0.0%,0.0,50.0%,2018,10
Jarvis Landry (FA),0,1,0.0%,0.0,100.0%,2018,10
Allen Robinson II (DET),0,1,0.0%,0.0,50.0%,2018,10
Kelvin Benjamin (FA),0,1,0.0%,0.0,16.7%,2018,10
Mike Evans (TB),0,1,0.0%,0.0,50.0%,2018,10
T.Y. Hilton (FA),0,1,0.0%,0.0,33.3%,2018,10
Mohamed Sanu Sr. (FA),0,1,0.0%,0.0,25.0%,2018,10
Alshon Jeffery (FA),0,1,0.0%,0.0,33.3%,2018,10
Terrelle Pryor Sr. (FA),0,1,0.0%,0.0,16.7%,2018,10
Dwayne Harris (FA),1,1,100.0%,0.0,25.0%,2018,10
Larry Fitzgerald (FA),0,1,0.0%,0.0,50.0%,2018,10
Robert Foster (FA),0,1,0.0%,0.0,16.7%,2018,10
Cooper Kupp (LAR),1,1,100.0%,-2.0,33.3%,2018,10
Larry Fitzgerald (FA),2,2,100.0%,11.5,66.7%,2018,11
Chris Conley (SF),2,2,100.0%,9.0,100.0%,2018,11
Kenny Golladay (FA),1,3,33.3%,19.0,100.0%,2018,11
Anthony Miller (BAL),1,1,100.0%,18.0,100.0%,2018,11
DeAndre Hopkins (KC),1,2,50.0%,16.0,50.0%,2018,11
Josh Reynolds (JAC),2,3,66.7%,7.5,33.3%,2018,11
Tre'Quan Smith (FA),1,2,50.0%,15.0,66.7%,2018,11
T.Y. Hilton (FA),1,1,100.0%,14.0,33.3%,2018,11
Aldrick Robinson (FA),1,1,100.0%,13.0,33.3%,2018,11
Curtis Samuel (BUF),1,1,100.0%,12.0,33.3%,2018,11
Doug Baldwin (FA),2,3,66.7%,5.0,60.0%,2018,11
Keenan Allen (CHI),2,2,100.0%,5.0,100.0%,2018,11
DJ Moore (CHI),1,1,100.0%,8.0,33.3%,2018,11
Adam Humphries (FA),1,1,100.0%,8.0,33.3%,2018,11
Odell Beckham Jr. (FA),1,1,100.0%,8.0,100.0%,2018,11
Dontrelle Inman (FA),1,2,50.0%,7.0,66.7%,2018,11
Robert Woods (HOU),1,4,25.0%,7.0,44.4%,2018,11
Brandon LaFell (FA),1,1,100.0%,5.0,100.0%,2018,11
Stefon Diggs (HOU),1,2,50.0%,5.0,66.7%,2018,11
Austin Carr (FA),1,1,100.0%,3.0,33.3%,2018,11
Tajae Sharpe (FA),1,1,100.0%,1.0,100.0%,2018,11
Willie Snead IV (FA),2,2,100.0%,8.0,100.0%,2018,11
Christian Kirk (JAC),1,1,100.0%,12.0,33.3%,2018,11
Mike Evans (TB),1,1,100.0%,10.0,33.3%,2018,11
Keke Coutee (FA),1,2,50.0%,9.0,50.0%,2018,11
Brandin Cooks (DAL),1,1,100.0%,6.0,11.1%,2018,11
DeSean Jackson (FA),1,1,100.0%,6.0,33.3%,2018,11
KhaDarel Hodge (ATL),1,1,100.0%,3.0,11.1%,2018,11
JuJu Smith-Schuster (KC),0,1,0.0%,0.0,50.0%,2018,11
Devin Funchess (FA),0,1,0.0%,0.0,33.3%,2018,11
David Moore (CAR),0,1,0.0%,0.0,20.0%,2018,11
Adam Thielen (CAR),0,0,0%,0.0,0.0%,2018,11
Josh Bellamy (FA),0,0,0%,0.0,0.0%,2018,11
Cole Beasley (FA),0,1,0.0%,0.0,50.0%,2018,11
Jarius Wright (FA),0,0,0%,0.0,0.0%,2018,11
Antonio Brown (FA),0,1,0.0%,0.0,50.0%,2018,11
Amari Cooper (BUF),0,1,0.0%,0.0,50.0%,2018,11
Tyler Lockett (SEA),1,1,100.0%,-2.0,20.0%,2018,11
Demaryius Thomas (FA),2,2,100.0%,11.0,100.0%,2018,12
Mike Williams (PIT),2,2,100.0%,5.5,40.0%,2018,12
Emmanuel Sanders (FA),4,5,80.0%,6.0,100.0%,2018,12
Antonio Callaway (FA),2,2,100.0%,11.0,100.0%,2018,12
Davante Adams (NYJ),2,3,66.7%,10.5,75.0%,2018,12
Trey Quinn (FA),2,2,100.0%,8.5,50.0%,2018,12
Jermaine Kearse (FA),1,4,25.0%,16.0,80.0%,2018,12
Adam Thielen (CAR),1,1,100.0%,14.0,33.3%,2018,12
John Ross (FA),2,2,100.0%,7.0,40.0%,2018,12
Dante Pettis (NO),1,1,100.0%,13.0,50.0%,2018,12
Dede Westbrook (FA),1,1,100.0%,13.0,100.0%,2018,12
Tyler Lockett (SEA),1,1,100.0%,12.0,33.3%,2018,12
Austin Carr (FA),1,1,100.0%,12.0,50.0%,2018,12
Michael Crabtree (FA),2,2,100.0%,5.5,50.0%,2018,12
Keenan Allen (CHI),2,2,100.0%,4.0,40.0%,2018,12
Curtis Samuel (BUF),1,1,100.0%,7.0,50.0%,2018,12
Isaiah McKenzie (FA),0,0,0%,0.0,0%,2018,12
Keith Kirkwood (FA),1,1,100.0%,5.0,50.0%,2018,12
Calvin Ridley (TEN),1,2,50.0%,2.0,28.6%,2018,12
Julio Jones (FA),2,3,66.7%,14.0,42.9%,2018,12
Julian Edelman (FA),1,1,100.0%,16.0,100.0%,2018,12
Kendrick Bourne (NE),1,1,100.0%,10.0,50.0%,2018,12
DJ Moore (CHI),0,0,0%,0.0,0.0%,2018,12
Travis Benjamin (FA),1,1,100.0%,5.0,20.0%,2018,12
Sterling Shepard (TB),1,1,100.0%,5.0,50.0%,2018,12
Antonio Brown (FA),1,2,50.0%,5.0,40.0%,2018,12
Ryan Switzer (FA),1,1,100.0%,5.0,20.0%,2018,12
Auden Tate (FA),1,3,33.3%,4.0,60.0%,2018,12
Equanimeous St. Brown (FA),0,1,0.0%,0.0,25.0%,2018,12
Golden Tate (FA),0,1,0.0%,0.0,100.0%,2018,12
Doug Baldwin (FA),0,1,0.0%,0.0,33.3%,2018,12
Mohamed Sanu Sr. (FA),0,0,0%,0.0,0.0%,2018,12
David Moore (CAR),0,1,0.0%,0.0,33.3%,2018,12
Jarius Wright (FA),1,1,100.0%,0.0,50.0%,2018,12
Josh Doctson (FA),0,1,0.0%,0.0,25.0%,2018,12
Kenny Golladay (FA),0,1,0.0%,0.0,100.0%,2018,12
Noah Brown (WAS),0,1,0.0%,0.0,100.0%,2018,12
Allen Robinson II (DET),0,0,0%,0.0,0%,2018,12
Odell Beckham Jr. (FA),0,1,0.0%,0.0,50.0%,2018,12
JuJu Smith-Schuster (KC),1,2,50.0%,0.0,40.0%,2018,12
John Brown (FA),0,2,0.0%,0.0,50.0%,2018,12
Justin Hardy (FA),0,1,0.0%,0.0,14.3%,2018,12
Maurice Harris (FA),0,1,0.0%,0.0,25.0%,2018,12
Marvin Hall (FA),0,1,0.0%,0.0,14.3%,2018,12
Robbie Chosen (FA),0,1,0.0%,0.0,20.0%,2018,12
Stefon Diggs (HOU),0,2,0.0%,0.0,66.7%,2018,12
Leonte Carroo (FA),0,1,0.0%,0.0,100.0%,2018,12
Jaron Brown (FA),2,2,100.0%,11.0,66.7%,2018,13
DeVante Parker (FA),2,2,100.0%,12.0,50.0%,2018,13
Davante Adams (NYJ),2,2,100.0%,10.0,66.7%,2018,13
Rashard Higgins (FA),1,1,100.0%,17.0,100.0%,2018,13
Dante Pettis (NO),1,1,100.0%,17.0,33.3%,2018,13
Adam Humphries (FA),2,2,100.0%,8.0,50.0%,2018,13
Zay Jones (ARI),1,2,50.0%,15.0,66.7%,2018,13
Chris Godwin (TB),1,2,50.0%,13.0,50.0%,2018,13
Kenny Stills (FA),1,1,100.0%,13.0,25.0%,2018,13
Corey Davis (FA),1,1,100.0%,11.0,33.3%,2018,13
Keenan Allen (CHI),1,1,100.0%,10.0,100.0%,2018,13
Devin Funchess (FA),1,1,100.0%,10.0,33.3%,2018,13
Marcell Ateman (FA),1,1,100.0%,9.0,50.0%,2018,13
Robert Woods (HOU),1,1,100.0%,8.0,33.3%,2018,13
Golden Tate (FA),1,1,100.0%,6.0,20.0%,2018,13
Adam Thielen (CAR),1,1,100.0%,5.0,50.0%,2018,13
Chris Conley (SF),1,1,100.0%,2.0,50.0%,2018,13
Anthony Miller (BAL),1,2,50.0%,1.0,50.0%,2018,13
Doug Baldwin (FA),1,1,100.0%,1.0,33.3%,2018,13
Odell Beckham Jr. (FA),1,1,100.0%,1.0,100.0%,2018,13
Julian Edelman (FA),1,2,50.0%,5.0,66.7%,2018,13
Stefon Diggs (HOU),1,1,100.0%,10.0,50.0%,2018,13
Josh Gordon (FA),1,1,100.0%,10.0,33.3%,2018,13
Curtis Samuel (BUF),1,1,100.0%,8.0,33.3%,2018,13
Nelson Agholor (BAL),1,1,100.0%,7.0,20.0%,2018,13
T.Y. Hilton (FA),1,1,100.0%,7.0,100.0%,2018,13
DJ Moore (CHI),1,1,100.0%,5.0,33.3%,2018,13
Josh Reynolds (JAC),1,2,50.0%,5.0,66.7%,2018,13
Michael Gallup (FA),1,1,100.0%,4.0,100.0%,2018,13
Tyreek Hill (MIA),0,1,0.0%,0.0,50.0%,2018,13
Tajae Sharpe (FA),1,2,50.0%,3.0,66.7%,2018,13
Quincy Enunwa (FA),1,1,100.0%,2.0,100.0%,2018,13
Isaiah McKenzie (FA),1,1,100.0%,1.0,33.3%,2018,13
Tre'Quan Smith (FA),0,1,0.0%,0.0,50.0%,2018,13
Kendrick Bourne (NE),0,1,0.0%,0.0,33.3%,2018,13
Christian Kirk (JAC),0,1,0.0%,0.0,100.0%,2018,13
Antonio Callaway (FA),0,0,0%,0.0,0.0%,2018,13
Kenny Golladay (FA),0,3,0.0%,0.0,60.0%,2018,13
Jordy Nelson (FA),0,1,0.0%,0.0,50.0%,2018,13
Isaiah Ford (FA),0,1,0.0%,0.0,25.0%,2018,13
John Ross (FA),0,1,0.0%,0.0,50.0%,2018,13
Cody Core (FA),0,1,0.0%,0.0,50.0%,2018,13
Michael Thomas (FA),0,1,0.0%,0.0,50.0%,2018,13
DeAndre Carter (CHI),1,1,100.0%,0.0,50.0%,2018,13
Taylor Gabriel (FA),0,1,0.0%,0.0,25.0%,2018,13
Bruce Ellington (FA),2,2,100.0%,0.0,40.0%,2018,13
Allen Robinson II (DET),0,1,0.0%,0.0,25.0%,2018,13
Alshon Jeffery (FA),0,1,0.0%,0.0,20.0%,2018,13
Randall Cobb (FA),0,1,0.0%,0.0,33.3%,2018,13
Demaryius Thomas (FA),0,1,0.0%,0.0,50.0%,2018,13
Richie James Jr. (FA),0,1,0.0%,0.0,33.3%,2018,13
Julio Jones (FA),2,2,100.0%,14.0,40.0%,2018,14
JuJu Smith-Schuster (KC),3,4,75.0%,3.3,44.4%,2018,14
Justin Hardy (FA),2,3,66.7%,13.0,60.0%,2018,14
DeAndre Hopkins (KC),2,4,50.0%,10.0,100.0%,2018,14
Isaiah McKenzie (FA),0,0,0%,0.0,0.0%,2018,14
Amari Cooper (BUF),1,1,100.0%,15.0,33.3%,2018,14
Keenan Allen (CHI),1,3,33.3%,14.0,60.0%,2018,14
Robbie Chosen (FA),2,4,50.0%,7.0,80.0%,2018,14
Julian Edelman (FA),3,3,100.0%,4.3,60.0%,2018,14
Zach Pascal (ARI),1,1,100.0%,12.0,100.0%,2018,14
Russell Shepard (FA),1,1,100.0%,11.0,20.0%,2018,14
John Brown (FA),1,2,50.0%,9.0,66.7%,2018,14
Davante Adams (NYJ),1,1,100.0%,7.0,100.0%,2018,14
Kenny Stills (FA),1,1,100.0%,7.0,100.0%,2018,14
Dede Westbrook (FA),1,2,50.0%,7.0,66.7%,2018,14
John Ross (FA),1,1,100.0%,6.0,50.0%,2018,14
Bennie Fowler III (FA),1,1,100.0%,6.0,20.0%,2018,14
Jarvis Landry (FA),0,0,0%,0.0,0%,2018,14
Sterling Shepard (TB),1,3,33.3%,3.0,60.0%,2018,14
Alshon Jeffery (FA),1,1,100.0%,2.0,50.0%,2018,14
Dante Pettis (NO),1,1,100.0%,1.0,100.0%,2018,14
DaeSean Hamilton (FA),1,1,100.0%,1.0,25.0%,2018,14
Antonio Brown (FA),3,3,100.0%,5.3,33.3%,2018,14
Adam Humphries (FA),2,2,100.0%,8.0,66.7%,2018,14
Alex Erickson (FA),0,0,0%,0.0,0.0%,2018,14
Jordy Nelson (FA),1,1,100.0%,10.0,50.0%,2018,14
Seth Roberts (FA),1,1,100.0%,9.0,50.0%,2018,14
Allen Robinson II (DET),1,2,50.0%,8.0,50.0%,2018,14
Keith Kirkwood (FA),1,1,100.0%,8.0,25.0%,2018,14
Cody Core (FA),1,1,100.0%,7.0,50.0%,2018,14
Laquon Treadwell (IND),1,1,100.0%,7.0,33.3%,2018,14
Tyrell Williams (FA),1,1,100.0%,7.0,20.0%,2018,14
Chris Conley (SF),1,2,50.0%,6.0,40.0%,2018,14
Taylor Gabriel (FA),1,2,50.0%,6.0,50.0%,2018,14
DJ Moore (CHI),1,3,33.3%,6.0,60.0%,2018,14
Adam Thielen (CAR),1,2,50.0%,6.0,66.7%,2018,14
Tyreek Hill (MIA),1,2,50.0%,6.0,40.0%,2018,14
Demarcus Robinson (LAR),1,1,100.0%,6.0,20.0%,2018,14
Brandin Cooks (DAL),1,1,100.0%,5.0,100.0%,2018,14
Michael Thomas (FA),2,3,66.7%,2.0,75.0%,2018,14
Quincy Enunwa (FA),1,1,100.0%,4.0,20.0%,2018,14
Robert Foster (FA),1,1,100.0%,2.0,33.3%,2018,14
Tyler Lockett (SEA),0,0,0%,0.0,0.0%,2018,14
Ryan Switzer (FA),1,1,100.0%,1.0,11.1%,2018,14
Larry Fitzgerald (FA),0,1,0.0%,0.0,100.0%,2018,14
Josh Doctson (FA),0,1,0.0%,0.0,100.0%,2018,14
Michael Floyd (FA),0,0,0%,0.0,0.0%,2018,14
Michael Gallup (FA),0,1,0.0%,0.0,33.3%,2018,14
James Washington (FA),0,1,0.0%,0.0,11.1%,2018,14
Courtland Sutton (DEN),0,3,0.0%,0.0,75.0%,2018,14
Jarius Wright (FA),0,1,0.0%,0.0,20.0%,2018,14
Josh Gordon (FA),0,1,0.0%,0.0,20.0%,2018,14
David Moore (CAR),0,1,0.0%,0.0,100.0%,2018,14
Donte Moncrief (FA),0,1,0.0%,0.0,33.3%,2018,14
Cole Beasley (FA),0,1,0.0%,0.0,33.3%,2018,14
Curtis Samuel (BUF),0,1,0.0%,0.0,20.0%,2018,14
Zay Jones (ARI),0,2,0.0%,0.0,66.7%,2018,14
Chris Hogan (FA),0,1,0.0%,0.0,20.0%,2018,14
Corey Davis (FA),0,1,0.0%,0.0,50.0%,2018,14
Mike Williams (PIT),0,1,0.0%,0.0,20.0%,2018,14
Tajae Sharpe (FA),0,1,0.0%,0.0,50.0%,2018,14
Chris Godwin (TB),0,1,0.0%,0.0,33.3%,2018,14
Mike Williams (PIT),2,4,50.0%,2.0,66.7%,2018,15
Antonio Brown (FA),1,1,100.0%,17.0,50.0%,2018,15
DeAndre Hopkins (KC),1,2,50.0%,14.0,100.0%,2018,15
Stefon Diggs (HOU),1,2,50.0%,13.0,100.0%,2018,15
Andre Roberts (FA),1,1,100.0%,13.0,33.3%,2018,15
Trent Sherfield Sr. (MIN),1,1,100.0%,7.0,100.0%,2018,15
Tyler Boyd (TEN),1,2,50.0%,7.0,66.7%,2018,15
Chris Moore (WAS),1,1,100.0%,5.0,33.3%,2018,15
Doug Baldwin (FA),1,2,50.0%,5.0,100.0%,2018,15
Demarcus Robinson (LAR),1,1,100.0%,5.0,25.0%,2018,15
Justin Hardy (FA),1,1,100.0%,5.0,25.0%,2018,15
Robbie Chosen (FA),1,1,100.0%,5.0,33.3%,2018,15
Andy Jones (FA),1,1,100.0%,4.0,100.0%,2018,15
Antonio Callaway (FA),1,1,100.0%,2.0,50.0%,2018,15
Zach Pascal (ARI),1,1,100.0%,12.0,50.0%,2018,15
Davante Adams (NYJ),1,2,50.0%,10.0,66.7%,2018,15
Mohamed Sanu Sr. (FA),1,1,100.0%,9.0,25.0%,2018,15
Golden Tate (FA),1,1,100.0%,8.0,100.0%,2018,15
Tyler Lockett (SEA),0,0,0%,0.0,0.0%,2018,15
Tre'Quan Smith (FA),1,1,100.0%,6.0,50.0%,2018,15
Jarvis Landry (FA),1,1,100.0%,6.0,50.0%,2018,15
Willie Snead IV (FA),1,2,50.0%,5.0,66.7%,2018,15
Michael Thomas (FA),1,1,100.0%,5.0,50.0%,2018,15
Chris Hogan (FA),1,1,100.0%,5.0,33.3%,2018,15
Robert Woods (HOU),1,1,100.0%,4.0,20.0%,2018,15
Tyrell Williams (FA),1,2,50.0%,3.0,33.3%,2018,15
Julian Edelman (FA),1,2,50.0%,3.0,66.7%,2018,15
Chris Conley (SF),1,1,100.0%,3.0,25.0%,2018,15
Julio Jones (FA),1,1,100.0%,1.0,25.0%,2018,15
Ryan Switzer (FA),1,1,100.0%,1.0,50.0%,2018,15
Corey Coleman (FA),0,1,0.0%,0.0,50.0%,2018,15
Chris Godwin (TB),0,1,0.0%,0.0,50.0%,2018,15
Russell Gage (SF),0,1,0.0%,0.0,25.0%,2018,15
T.Y. Hilton (FA),0,1,0.0%,0.0,50.0%,2018,15
Kendrick Bourne (NE),0,1,0.0%,0.0,100.0%,2018,15
Jermaine Kearse (FA),0,1,0.0%,0.0,33.3%,2018,15
Josh Reynolds (JAC),0,4,0.0%,0.0,80.0%,2018,15
Bennie Fowler III (FA),0,1,0.0%,0.0,50.0%,2018,15
John Ross (FA),0,1,0.0%,0.0,33.3%,2018,15
Josh Doctson (FA),0,1,0.0%,0.0,100.0%,2018,15
DeVante Parker (FA),0,1,0.0%,0.0,50.0%,2018,15
Marvin Hall (FA),0,0,0%,0.0,0.0%,2018,15
Devin Funchess (FA),0,1,0.0%,0.0,100.0%,2018,15
Jake Kumerow (FA),0,1,0.0%,0.0,33.3%,2018,15
Adam Humphries (FA),0,1,0.0%,0.0,50.0%,2018,15
Danny Amendola (FA),0,1,0.0%,0.0,50.0%,2018,15
Tyreek Hill (MIA),0,2,0.0%,0.0,50.0%,2018,15
Tommylee Lewis (FA),0,0,0%,0.0,0.0%,2018,15
Antonio Brown (FA),2,4,50.0%,11.5,66.7%,2018,16
Courtland Sutton (DEN),1,1,100.0%,19.0,50.0%,2018,16
Rashard Higgins (FA),1,1,100.0%,17.0,33.3%,2018,16
Davante Adams (NYJ),1,3,33.3%,16.0,50.0%,2018,16
Michael Thomas (FA),3,3,100.0%,5.0,100.0%,2018,16
Robert Woods (HOU),1,1,100.0%,11.0,50.0%,2018,16
Julio Jones (FA),2,2,100.0%,6.0,50.0%,2018,16
Demarcus Robinson (LAR),1,1,100.0%,11.0,33.3%,2018,16
Dontrelle Inman (FA),2,2,100.0%,4.0,33.3%,2018,16
Stefon Diggs (HOU),1,1,100.0%,8.0,50.0%,2018,16
Anthony Miller (BAL),1,1,100.0%,4.0,50.0%,2018,16
Mike Evans (TB),1,2,50.0%,7.0,40.0%,2018,16
Michael Floyd (FA),1,1,100.0%,7.0,100.0%,2018,16
DaeSean Hamilton (FA),1,1,100.0%,7.0,50.0%,2018,16
Michael Gallup (FA),1,1,100.0%,4.0,25.0%,2018,16
John Ross (FA),1,1,100.0%,3.0,100.0%,2018,16
Chester Rogers (FA),1,1,100.0%,1.0,16.7%,2018,16
Zach Pascal (ARI),2,2,100.0%,9.5,33.3%,2018,16
Ryan Switzer (FA),1,1,100.0%,13.0,16.7%,2018,16
T.Y. Hilton (FA),1,1,100.0%,12.0,16.7%,2018,16
Robbie Chosen (FA),1,2,50.0%,10.0,66.7%,2018,16
Allen Robinson II (DET),1,1,100.0%,10.0,50.0%,2018,16
