year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_rushing_attempts,projected_rushing_yards,projected_rushing_tds,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,4048244,Alexander Mattison,Alexander,Mattison,RB,LV,"$6,100","$6,100",0,7,16,2.3,3,50.0%,0,0,0%,0,0,0,0.0%,9.25,11.61,10.43,15.85,53.92,0.29,2.37,17.6,0.08,52.9,52.9,52.9,52.9,52.9,52.9
2024,8,3059915,Kareem Hunt,Kareem,Hunt,RB,KC,"$8,100","$7,700",+400,12,37,3.1,3,42.9%,2,2,100.0%,12,6.0,0,33.3%,13.23,14.97,14.1,18.74,76.12,0.69,1.74,12.1,0.05,85.8,85.8,85.8,85.8,85.8,85.8
2024,8,4038815,Rico Dowdle,Rico,Dowdle,RB,DAL,"$6,000",-,-,3,-1,-0.3,0,33.3%,1,1,100.0%,15,15.0,1,33.3%,9.0,11.42,10.21,12.21,50.61,0.27,2.42,17.67,0.12,63.0,63.0,63.0,63.0,63.0,63.0
2024,8,4040761,Devin Singletary,Devin,Singletary,RB,NYG,"$6,200","$6,200",0,8,25,3.1,2,50.0%,0,0,0%,0,0,0,0.0%,5.45,6.93,6.19,8.18,33.97,0.17,1.49,9.7,0.03,72.6,72.6,72.6,72.6,72.6,72.6
2024,8,4035676,Zack Moss,Zack,Moss,RB,CIN,"$6,300","$6,700",-400,15,42,2.8,2,68.2%,1,2,50.0%,1,1.0,1,33.3%,7.09,9.66,8.38,7.43,32.92,0.25,2.57,17.72,0.1,80.4,80.4,80.4,80.4,80.4,80.4
2024,8,4360516,Tyrone Tracy Jr.,Tyrone,Tracy Jr.,RB,NYG,,,,,,,,,,,,,,,,7.42,9.74,8.58,11.23,42.14,0.23,2.32,16.05,0.05,53.6,53.6,53.6,53.6,53.6,53.6
2024,8,4362887,Justin Fields,Justin,Fields,RB,PIT,,,,,,,,,,,,,,,,0.38,0.38,0.38,,,,,,,,,,,,
2024,8,4239996,Travis Etienne Jr.,Travis,Etienne Jr.,RB,JAX,,,,,,,,,,,,,,,,8.03,10.82,9.43,9.24,38.61,0.27,2.79,21.1,0.09,92.5,92.5,92.5,92.5,92.5,92.5
2024,8,4360294,Antonio Gibson,Antonio,Gibson,RB,NE,"$5,400","$5,500",-100,5,14,2.8,0,26.3%,1,1,100.0%,7,7.0,0,12.5%,4.49,6.08,5.28,6.18,23.36,0.13,1.59,12.28,0.04,29.9,29.9,29.9,29.9,29.9,29.9
2024,8,4697815,Rachaad White,Rachaad,White,RB,TB,"$6,400","$6,300",+100,5,14,2.8,0,21.7%,5,5,100.0%,19,3.8,1,83.3%,8.42,11.67,10.04,10.3,38.15,0.24,3.24,25.43,0.13,92.0,92.0,92.0,92.0,92.0,92.0
2024,8,4887558,Emanuel Wilson,Emanuel,Wilson,RB,GB,"$5,600","$5,400",+200,4,12,3.0,0,20.0%,1,1,100.0%,2,2.0,0,20.0%,3.82,4.59,4.2,5.96,22.98,0.14,0.77,6.09,0.02,7.5,7.5,7.5,7.5,7.5,7.5
2024,8,4040715,Jalen Hurts,Jalen,Hurts,RB,PHI,,,,,,,,,,,,,,,,19.21,19.21,19.21,,,,,,,,,,,,
2024,8,4429501,Ray Davis,Ray,Davis,RB,BUF,,,,10,49,4.9,2,32.3%,0,0,0%,0,0,0,0.0%,4.37,5.32,4.84,6.07,25.11,0.16,0.95,7.9,0.03,24.3,24.3,24.3,24.3,24.3,24.3
2024,8,4426385,Zach Charbonnet,Zach,Charbonnet,RB,SEA,"$5,200","$5,300",-100,5,20,4.0,3,35.7%,0,0,0%,0,0,0,0.0%,4.59,6.61,5.6,5.16,21.63,0.11,2.03,13.72,0.08,66.1,66.1,66.1,66.1,66.1,66.1
