player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Brandon Powell,2023,2,0.007,0,1,0.08337265738837883,0.0,0.007
Brandon Zylstra,2019,1,0.964,0,1,0.18629009635512025,0.964,1.0
Braxton Berrios,2020,3,0.0,0,0,0.0,0.0,0.0
Braxton Berrios,2021,2,1.697,1,2,0.4595552197505758,0.697,1.0
Braxton Berrios,2022,1,0.0,0,0,0.0,0.0,1.0
Braxton Berrios,2023,1,0.981,0,1,0.13652472303579308,0.981,1.0
Braxton Miller,2017,1,0.0,0,0,0.0,0.0,1.0
Breshad Perriman,2017,1,0.0,0,0,0.0,0.0,1.0
Breshad Perriman,2019,6,4.692,3,6,0.686393473162442,0.123,1.0
Breshad Perriman,2020,4,1.024,1,2,0.15304901175767194,0.0,0.024
Breshad Perriman,2021,1,0.0,0,0,0.0,0.0,1.0
Bruce Ellington,2017,4,0.996,0,2,0.14136477637657835,0.0,0.008
Bruce Ellington,2018,2,0.0,0,0,0.0,0.0,0.0
Bryan Edwards,2021,2,0.003,0,1,0.054690035655501276,0.0,0.003
Byron Pringle,2021,3,1.018,1,2,0.132951118836962,0.0,1.0
Calvin Ridley,2018,10,4.017,3,5,0.242303528657756,0.0,0.038
Calvin Ridley,2019,10,4.65,3,7,0.6629479617586889,0.0,0.567
Calvin Ridley,2020,10,7.594,5,9,0.796971768634247,0.0,1.0
Calvin Ridley,2021,2,0.054,0,1,0.22601769842204836,0.0,0.054
Calvin Ridley,2023,11,5.011,4,6,0.23849318648548434,0.0,0.977
Calvin Ridley,2024,13,3.151,1,5,0.4540914004911346,0.0,0.0
Cam Sims,2020,4,0.905,0,2,0.2999583304394129,0.0,0.002
Cedric Tillman,2023,4,0.0,0,0,0.0,0.0,0.0
Cedric Tillman,2024,4,2.993,2,4,0.09460972465872627,0.001,1.0
CeeDee Lamb,2020,10,5.669,4,6,0.5305082468727512,0.0,0.97
CeeDee Lamb,2021,7,3.83,2,5,0.3887158345115362,0.0,0.998
CeeDee Lamb,2022,15,9.014,6,11,0.8305443997764358,0.0,0.996
CeeDee Lamb,2023,14,12.508,10,14,0.6147649957504088,0.003,1.0
CeeDee Lamb,2024,12,6.91,4,10,0.9570266453970862,0.0,0.935
Chad Beebe,2020,1,0.995,0,1,0.07053367989832944,0.995,1.0
Chad Williams,2018,3,0.002,0,1,0.044676615807377355,0.0,0.002
Chase Claypool,2020,9,2.808,2,4,0.45291941888154896,0.0,0.025
Chase Claypool,2021,8,2.018,1,4,0.45351515961431765,0.0,0.002
Chase Claypool,2022,7,1.014,1,2,0.11749042514179613,0.0,0.0
Chester Rogers,2017,2,1.0,1,1,0.0,0.0,1.0
Chester Rogers,2018,5,2.826,1,4,0.3869418560972695,0.0,0.998
Chester Rogers,2019,1,0.002,0,1,0.044676615807377355,0.002,1.0
Chester Rogers,2021,1,0.001,0,1,0.03160696125855822,0.001,1.0
Chris Conley,2018,5,1.081,1,2,0.27283511504203417,0.0,0.081
Chris Conley,2019,9,3.851,2,4,0.3671498331744139,0.0,0.855
Chris Conley,2020,2,0.0,0,0,0.0,0.0,0.0
Chris Godwin,2017,4,2.036,1,3,0.2206898275861395,0.0,0.993
Chris Godwin,2018,8,3.732,2,5,0.48391734831477157,0.0,0.747
Chris Godwin,2019,11,5.867,4,8,0.7518716645811304,0.0,0.976
Chris Godwin,2020,7,3.073,1,6,0.7427455822823855,0.0,0.802
Chris Godwin,2021,10,4.018,4,5,0.132951118836962,0.0,0.018
Chris Godwin,2022,11,3.133,1,5,0.47677143370801905,0.0,0.005
Chris Godwin,2023,14,4.756,3,7,0.5817765894224345,0.0,0.003
Chris Godwin,2024,4,1.024,1,3,0.159449051423958,0.0,0.023
Chris Hogan,2017,4,0.785,0,2,0.4435932821853821,0.0,0.014
Chris Hogan,2018,2,0.003,0,1,0.05469003565550128,0.0,0.003
Chris Hogan,2020,1,0.0,0,0,0.0,0.0,1.0
Chris Moore,2022,6,1.963,1,2,0.18876175460087247,0.0,0.0
Chris Olave,2022,10,3.547,1,6,0.8762368401294253,0.0,0.13
Chris Olave,2023,13,4.514,2,7,0.9569764887394047,0.0,0.139
Chris Olave,2024,2,0.628,0,2,0.5381598275605491,0.028,0.6
Christian Blake,2019,1,0.0,0,0,0.0,0.0,1.0
Christian Kirk,2018,7,0.503,0,2,0.5118505641298053,0.0,0.0
Christian Kirk,2019,10,1.4,1,3,0.5403702434442519,0.0,0.0
Christian Kirk,2020,7,2.029,2,3,0.16780643611018023,0.0,0.029
Christian Kirk,2021,9,2.81,1,4,0.667757440991862,0.0,0.145
Christian Kirk,2022,12,3.76,2,6,0.7748548251124207,0.0,0.013
Christian Kirk,2023,8,1.656,0,4,0.6400499980470276,0.0,0.001
Christian Kirk,2024,3,0.946,0,2,0.23039965277751615,0.0,0.945
Christian Watson,2022,7,4.654,4,5,0.4756931784249171,0.0,1.0
Christian Watson,2023,4,2.0,2,2,0.0,0.0,1.0
Christian Watson,2024,4,0.123,0,1,0.3284372086107175,0.0,0.0
Cody Latimer,2017,1,0.0,0,0,0.0,0.0,1.0
Cody Latimer,2018,1,1.0,1,1,0.0,1.0,1.0
Cody Latimer,2019,2,0.993,0,1,0.08337265738837882,0.0,0.993
Cole Beasley,2017,5,2.0,1,3,0.044721359549995794,0.0,0.999
Cole Beasley,2018,8,2.001,2,3,0.03160696125855822,0.0,0.0
Cole Beasley,2019,9,3.536,2,6,0.8430326209584064,0.0,0.51
Cole Beasley,2020,8,4.003,2,5,0.7622276562812453,0.0,0.753
Cole Beasley,2021,7,1.756,1,2,0.42949272403615874,0.0,0.0
Collin Johnson,2020,2,1.337,1,2,0.47268488446321194,0.337,1.0
Cooper Kupp,2017,10,4.605,2,6,0.5957977844873208,0.0,0.649
Cooper Kupp,2018,4,2.994,2,3,0.0772269383052313,0.0,1.0
Cooper Kupp,2019,9,5.124,4,6,0.5026171505231393,0.0,1.0
Cooper Kupp,2020,12,2.657,1,4,0.6537208884531686,0.0,0.0
Cooper Kupp,2021,13,12.052,9,13,0.8254065664870857,0.324,1.0
Cooper Kupp,2022,6,4.957,4,6,0.20772818778394037,0.001,1.0
Cooper Kupp,2023,8,2.895,2,5,0.7293661631855429,0.0,0.201
Cooper Kupp,2024,6,3.765,2,5,0.6322776288941434,0.0,0.977
Corey Coleman,2017,4,0.989,0,1,0.10430244484191156,0.0,0.0
Corey Davis,2017,5,0.25,0,1,0.4330127018922193,0.0,0.0
Corey Davis,2018,8,2.615,2,4,0.4886460886981498,0.0,0.001
Corey Davis,2019,7,1.999,1,2,0.03160696125855822,0.0,0.0
Corey Davis,2020,6,3.888,3,5,0.5361492329566462,0.0,1.0
Corey Davis,2021,4,1.623,1,3,0.5557616395542248,0.0,0.586
Corey Davis,2022,3,1.036,0,2,0.20175232340669583,0.0,0.997
Courtland Sutton,2018,8,2.061,1,4,0.27799100704878926,0.0,0.001
Courtland Sutton,2019,13,4.991,3,7,0.4036322583738817,0.0,0.072
Courtland Sutton,2021,6,2.001,2,3,0.031606961258558226,0.0,0.001
Courtland Sutton,2022,9,0.885,0,3,0.6275149400611909,0.0,0.0
Courtland Sutton,2023,8,3.618,2,6,0.7085732142834641,0.0,0.547
Courtland Sutton,2024,13,7.196,5,10,0.9987912694852713,0.0,0.952
Curtis Samuel,2017,2,0.0,0,0,0.0,0.0,0.0
Curtis Samuel,2018,4,1.53,0,3,0.5282991576748916,0.0,0.523
Curtis Samuel,2019,10,3.964,2,5,0.5501854232892761,0.0,0.128
Curtis Samuel,2020,10,4.981,3,6,0.3265562738640922,0.0,0.939
Curtis Samuel,2022,7,0.865,0,2,0.4251764339659479,0.0,0.0
Curtis Samuel,2023,8,3.819,2,5,0.39273273354789257,0.0,0.818
Curtis Samuel,2024,3,0.999,0,1,0.03160696125855821,0.0,0.999
D.J. Chark,2018,3,0.0,0,0,0.0,0.0,0.0
D.J. Chark,2019,12,2.996,2,4,0.17884071124886525,0.0,0.0
D.J. Chark,2020,9,1.929,1,2,0.2568248430350927,0.0,0.0
D.J. Chark,2022,4,2.312,1,4,0.6653239812301973,0.003,0.889
D.J. Chark,2023,5,1.657,1,2,0.4747114913292073,0.0,0.657
D.J. Moore,2018,10,2.387,2,4,0.5150058252097737,0.0,0.0
D.J. Moore,2019,11,4.67,2,8,0.8573797291748856,0.0,0.578
D.J. Moore,2020,10,5.128,4,7,0.3970088160230198,0.0,0.979
D.J. Moore,2021,11,1.84,1,4,0.7116178749862879,0.0,0.0
D.J. Moore,2022,12,5.97,5,7,0.18734993995195195,0.0,0.967
D.J. Moore,2023,15,6.805,6,8,0.443818656660578,0.0,0.785
D.J. Moore,2024,13,4.025,3,5,0.2904737509655563,0.0,0.0
DJ Turner,2024,1,0.0,0,0,0.0,0.0,1.0
DK Metcalf,2019,9,3.005,2,4,0.1759971590679804,0.0,0.018
DK Metcalf,2020,11,6.54,4,9,0.8175573374387878,0.0,0.998
DK Metcalf,2021,10,5.42,4,7,0.56,0.0,0.973
DK Metcalf,2022,13,5.119,2,8,0.7581813767166798,0.0,0.268
DK Metcalf,2023,12,5.084,2,8,1.039684567549216,0.0,0.347
DK Metcalf,2024,10,2.636,1,5,0.6910166423466224,0.0,0.001
DaeSean Hamilton,2018,4,1.209,0,2,0.41148390004956453,0.0,0.211
DaeSean Hamilton,2019,4,1.0,1,1,0.0,0.0,0.0
DaeSean Hamilton,2020,3,1.201,1,3,0.4106080856485903,0.004,1.0
Damiere Byrd,2017,1,0.0,0,0,0.0,0.0,1.0
Damiere Byrd,2019,3,1.577,1,2,0.49403542383112575,0.0,1.0
Damiere Byrd,2020,4,1.002,1,2,0.044676615807377355,0.0,0.002
Damiere Byrd,2021,3,0.0,0,0,0.0,0.0,0.0
Damiere Byrd,2022,1,1.0,1,1,0.0,1.0,1.0
Danny Amendola,2017,5,0.874,0,2,0.33484921979900145,0.0,0.001
Danny Amendola,2018,7,1.319,1,3,0.4682296445121773,0.0,0.001
Danny Amendola,2019,8,1.748,0,3,0.7338228669099921,0.0,0.0
Danny Amendola,2020,4,0.02,0,1,0.13999999999999999,0.0,0.0
Danny Amendola,2021,4,1.0,1,1,0.0,0.0,0.0
Dante Pettis,2018,6,2.771,2,4,0.4410884265087897,0.0,0.762
Dante Pettis,2019,1,0.0,0,0,0.0,0.0,1.0
Dante Pettis,2022,4,1.006,1,2,0.07722693830523131,0.0,0.006
Dante Pettis,2024,3,0.108,0,1,0.3103804117530615,0.0,0.108
Darius Slayton,2019,7,3.001,3,4,0.03160696125855822,0.0,1.0
Darius Slayton,2020,7,1.068,0,2,0.2887490259723831,0.0,0.0
Darius Slayton,2021,2,0.001,0,1,0.03160696125855822,0.0,0.001
Darius Slayton,2022,7,1.046,0,3,0.38455688785926073,0.0,0.001
Darius Slayton,2023,7,3.986,3,5,0.14072668545801825,0.0,1.0
Darius Slayton,2024,6,1.567,1,2,0.495490665906029,0.0,0.0
