season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0033895,G.Everett,TE,TE,LAC,NE,4.4,8.4,4,5,44.0,0,0.0,0.0,22.0,37.0,2.0,2.6236422,0,2.0,0.1388889,0.08208955,0.265796
2023,REG,13,00-0036556,B.Jordan,TE,TE,HOU,DEN,6.4,9.4,3,5,64.0,0,0.0,0.0,30.0,43.0,3.0,4.0782404,0,2.1333334,0.18518518,0.10526316,0.35146198
2023,REG,13,00-0037475,S.Smartt,TE,TE,LAC,NE,0.0,0.0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-0.4552939,0,0.0,0.027777778,0.014925373,0.052114427
2023,REG,13,00-0031585,M.Pruitt,TE,TE,ATL,NYJ,8.0,9.0,1,1,20.0,1,0.0,0.0,20.0,0.0,1.0,2.9246387,0,1.0,0.04,0.077220075,0.114054054
2023,REG,13,00-0036628,J.Bates,TE,TE,WAS,MIA,0.0,0.0,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-1.6463877,0,0.0,0.045454547,0.029239766,0.08864965
2023,REG,13,00-0038547,L.Schoonmaker,TE,TE,DAL,SEA,1.2,2.2,1,1,12.0,0,0.0,0.0,7.0,5.0,1.0,0.650357,0,1.7142857,0.025,0.030567685,0.05889738
2023,REG,13,00-0030506,T.Kelce,TE,TE,KC,GB,8.1,12.1,4,5,81.0,0,0.0,0.0,56.0,36.0,4.0,7.475065,0,1.4464285,0.16666667,0.24347825,0.42043477
2023,REG,13,00-0034613,T.Hudson,TE,TE,CIN,JAX,3.5,7.5,4,4,35.0,0,0.0,0.0,14.0,21.0,2.0,3.5319223,0,2.5,0.10810811,0.0979021,0.23069362
2023,REG,13,00-0037805,J.Ruckert,TE,TE,NYJ,ATL,1.2,2.2,1,3,12.0,0,0.0,0.0,10.0,5.0,1.0,-0.8430293,0,1.2,0.083333336,0.031746034,0.14722222
2023,REG,13,00-0034365,I.Thomas,TE,TE,CAR,TB,0.6,1.6,1,1,6.0,0,0.0,0.0,1.0,5.0,0.0,0.3336524,0,6.0,0.03846154,0.0034129692,0.060081385
2023,REG,13,00-0037539,L.Krull,TE,TE,DEN,HOU,0.0,0.0,0,1,0.0,0,0.0,0.0,8.0,0.0,0.0,-3.297497,0,0.0,0.041666668,0.025477707,0.080334395
2023,REG,13,00-0033885,D.Njoku,TE,TE,CLE,LA,1.7,3.7,2,6,17.0,0,0.0,0.0,42.0,18.0,1.0,-3.2809832,0,0.4047619,0.14634146,0.082840234,0.27750036
2023,REG,13,00-0036754,B.Wright,TE,TE,DET,NO,0.8,1.8,1,1,8.0,0,0.0,0.0,0.0,8.0,0.0,0.45791212,0,0.0,0.04,0.0,0.06
2023,REG,13,00-0037304,C.Heyward,TE,TE,PIT,ARI,0.0,0.0,0,2,0.0,0,0.0,0.0,30.0,0.0,0.0,-2.1071584,0,0.0,0.074074075,0.13452914,0.20528151
2023,REG,13,00-0032141,G.Swaim,TE,TE,ARI,PIT,1.0,3.0,2,2,10.0,0,0.0,0.0,5.0,5.0,0.0,0.5642971,0,2.0,0.08695652,0.028901733,0.150666
2023,REG,13,00-0036876,K.Granson,TE,TE,IND,TEN,7.4,10.4,3,3,72.0,0,0.0,0.0,52.0,20.0,2.0,3.872201,0,1.3846154,0.07317073,0.16938111,0.22832288
2023,REG,13,00-0036232,H.Bryant,TE,TE,CLE,LA,10.9,15.9,5,5,49.0,1,0.0,0.0,35.0,14.0,2.0,4.130733,0,1.4,0.12195122,0.06903353,0.2312503
2023,REG,13,00-0037809,C.Okonkwo,TE,TE,TEN,IND,6.4,9.4,3,6,62.0,0,0.0,0.0,63.0,25.0,3.0,1.790278,0,0.984127,0.18181819,0.21501707,0.42323923
2023,REG,13,00-0034364,J.Akins,TE,TE,CLE,LA,0.6,1.6,1,1,6.0,0,0.0,0.0,5.0,1.0,0.0,-0.06681936,0,1.2,0.024390243,0.009861933,0.04348872
2023,REG,14,00-0024243,M.Lewis,TE,TE,CHI,DET,0.4,1.4,1,1,4.0,0,0.0,0.0,-3.0,7.0,0.0,-0.19025731,0,0.0,0.033333335,-0.012987013,0.04090909
2023,REG,14,00-0038129,C.Otton,TE,TE,TB,ATL,7.6,9.6,2,5,16.0,1,0.0,0.0,56.0,2.0,1.0,0.49362853,0,0.2857143,0.1724138,0.19787987,0.3971366
2023,REG,14,00-0038115,D.Bellinger,TE,TE,NYG,GB,1.5,3.5,2,2,15.0,0,0.0,0.0,6.0,9.0,1.0,1.9159154,0,2.5,0.1,0.048387095,0.18387097
2023,REG,14,00-0037539,L.Krull,TE,TE,DEN,LAC,3.5,4.5,1,1,35.0,0,0.0,0.0,25.0,10.0,1.0,3.1595197,0,1.4,0.033333335,0.15822785,0.1607595
2023,REG,14,00-0031585,M.Pruitt,TE,TE,ATL,TB,1.5,3.5,2,2,15.0,0,1.0,0.0,9.0,6.0,1.0,0.19509958,0,1.6666666,0.051282052,0.02284264,0.09291293
