season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0034521,A.Lazard,WR,WR,NYJ,ATL,0.0,0.0,0,1,0.0,0,0.0,0.0,12.0,0.0,0.0,-0.5268978,0,0.0,0.027777778,0.03809524,0.068333335
2023,REG,13,00-0037837,C.Austin,WR,WR,PIT,ARI,1.0,2.0,1,1,10.0,0,0.0,0.0,10.0,0.0,1.0,1.5425438,0,1.0,0.037037037,0.044843048,0.08694569
2023,REG,13,00-0036482,M.Strachan,WR,WR,CAR,TB,0.0,0.0,0,1,0.0,0,0.0,0.0,16.0,0.0,0.0,-0.8155519,0,0.0,0.03846154,0.054607507,0.09591756
2023,REG,13,00-0036387,J.Reagor,WR,WR,NE,LAC,1.1,2.1,1,1,11.0,0,0.0,0.0,9.0,2.0,0.0,-0.13682687,0,1.2222222,0.041666668,0.032846715,0.0854927
2023,REG,13,00-0036900,J.Chase,WR,WR,CIN,JAX,20.62,31.62,11,12,149.0,1,0.0,0.0,65.0,89.0,5.0,10.429507,0,2.2923076,0.3243243,0.45454547,0.8046683
2023,REG,13,00-0033857,J.Smith-Schuster,WR,WR,NE,LAC,1.1,2.1,1,3,11.0,0,0.0,0.0,42.0,3.0,0.0,-1.1793218,0,0.26190478,0.125,0.15328467,0.29479927
2023,REG,13,00-0033891,Z.Jones,WR,WR,JAX,CIN,7.8,12.8,5,8,78.0,0,0.0,0.0,160.0,15.0,3.0,3.1265526,0,0.4875,0.20512821,0.3644647,0.5628176
2023,REG,13,00-0036182,N.Westbrook-Ikhine,WR,WR,TEN,IND,2.8,3.8,1,3,28.0,0,0.0,0.0,46.0,21.0,1.0,0.7703398,0,0.6086956,0.09090909,0.1569966,0.24626125
2023,REG,13,00-0035500,G.Dortch,WR,WR,ARI,PIT,1.9,2.9,1,3,19.0,0,0.0,0.0,39.0,0.0,1.0,0.68153685,0,0.4871795,0.13043478,0.22543353,0.35345563
2023,REG,13,00-0036913,K.Toney,WR,WR,KC,GB,0.6,0.6,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,
2023,REG,13,00-0034348,C.Sutton,WR,WR,DEN,HOU,13.7,15.7,2,7,77.0,1,0.0,0.0,216.0,7.0,2.0,0.20244063,0,0.3564815,0.29166666,0.6878981,0.91902864
