year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,3128429,Courtland Sutton,Courtland,Sutton,WR,DEN,"$5,600","$5,700",-100,3,9,33.3%,33,11.0,2,56.3%,7.0,10.83,8.92,3.83,49.94,0.35,73.4,73.4,73.4,73.4,73.4,73.4
2024,8,3916433,Jakobi Meyers,Jakobi,Meyers,WR,LV,"$5,800","$5,800",0,3,5,60.0%,26,8.7,1,29.4%,6.31,10.83,8.57,4.53,49.42,0.23,57.7,57.7,57.7,57.7,57.7,57.7
2024,8,4372016,Jaylen Waddle,Jaylen,Waddle,WR,MIA,"$5,900","$6,200",-300,2,4,50.0%,17,8.5,0,33.3%,8.48,13.2,10.84,4.72,65.12,0.32,91.8,91.8,91.8,91.8,91.8,91.8
2024,8,4385690,Dalton Kincaid,Dalton,Kincaid,WR,BUF,,,,,,,,,,,,,,,,,,,,,,
2024,8,15835,Zach Ertz,Zach,Ertz,WR,WSH,,,,,,,,,,,,,,,,,,,,,,
2024,8,3728262,Ray-Ray McCloud III,Ray-Ray,McCloud III,WR,ATL,,,,,,,,,,,5.14,8.25,6.7,3.1,33.94,0.22,,,,,,
2024,8,4241463,Jerry Jeudy,Jerry,Jeudy,WR,CLE,"$6,000","$5,600",+400,2,6,33.3%,18,9.0,1,37.5%,6.83,10.88,8.85,4.05,53.45,0.26,53.7,53.7,53.7,53.7,53.7,53.7
2024,8,4612826,Ladd McConkey,Ladd,McConkey,WR,LAC,"$6,000","$5,800",+200,3,4,75.0%,25,8.3,2,33.3%,7.56,11.93,9.74,4.38,54.73,0.35,71.5,71.5,71.5,71.5,71.5,71.5
2024,8,4572680,Tucker Kraft,Tucker,Kraft,WR,GB,,,,,,,,,,,,,,,,,,,,,,
2024,8,4036131,Noah Fant,Noah,Fant,WR,SEA,,,,,,,,,,,,,,,,,,,,,,
2024,8,4243331,Cade Otton,Cade,Otton,WR,TB,,,,,,,,,,,,,,,,,,,,,,
2024,8,4427095,DeMario Douglas,DeMario,Douglas,WR,NE,"$5,100","$5,000",+100,0,1,0.0%,0,0,0,20.0%,5.81,9.82,7.82,4.01,46.12,0.2,27.1,27.1,27.1,27.1,27.1,27.1
2024,8,3054850,Alvin Kamara,Alvin,Kamara,WR,NO,,,,,,,,,,,12.57,16.74,14.65,4.18,31.83,0.12,,,,,,
2024,8,4360761,Michael Wilson,Michael,Wilson,WR,ARI,"$5,600","$5,900",-300,3,4,75.0%,26,8.7,2,36.4%,5.13,8.11,6.62,2.99,37.26,0.24,18.6,18.6,18.6,18.6,18.6,18.6
2024,8,4431299,Rome Odunze,Rome,Odunze,WR,CHI,"$5,500",-,-,2,5,40.0%,9,4.5,1,23.8%,6.0,9.29,7.64,3.29,43.5,0.27,65.6,65.6,65.6,65.6,65.6,65.6
2024,8,15847,Travis Kelce,Travis,Kelce,WR,KC,,,,,,,,,,,,,,,,,,,,,,
2024,8,4361411,Pat Freiermuth,Pat,Freiermuth,WR,PIT,,,,,,,,,,,,,,,,,,,,,,
2024,8,4688813,Josh Downs,Josh,Downs,WR,IND,"$6,200","$6,400",-200,4,7,57.1%,20,5.0,1,36.8%,5.64,9.57,7.61,3.93,43.03,0.22,42.4,42.4,42.4,42.4,42.4,42.4
2024,8,4242355,Jake Ferguson,Jake,Ferguson,WR,DAL,,,,,,,,,,,,,,,,,,,,,,
2024,8,16800,Davante Adams,Davante,Adams,WR,NYJ,"$7,800","$6,900",+900,1,5,20.0%,1,1.0,1,29.4%,9.51,14.99,12.25,5.48,66.08,0.5,99.2,99.2,99.2,99.2,99.2,99.2
2024,8,3054212,Jonnu Smith,Jonnu,Smith,WR,MIA,,,,,,,,,,,,,,,,,,,,,,
