year,week,player_id,player,position,team,points,points_ppr,points_half,receptions,reception_yards,reception_tds
2024,5,4569559,Devaughn Vele,WR,DEN,0.48,0.82,0.65,0.34,3.84,0.02
2024,5,3921690,Josh Oliver,WR,MIN,,,,,,
2024,5,4361577,Dyami Brown,WR,WSH,2.99,4.69,3.84,1.7,22.39,0.13
2024,5,4429148,Theo Johnson,WR,NYG,,,,,,
2024,5,4887558,Emanuel Wilson,WR,GB,5.62,6.76,6.19,1.14,8.55,0.05
2024,5,2973405,Kalif Raymond,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3051392,Ezekiel Elliott,WR,DAL,4.39,5.68,5.03,1.29,9.2,0.04
2024,5,3930066,Van Jefferson,WR,PIT,3.13,4.82,3.98,1.69,22.81,0.14
2024,5,4426515,Puka Nacua,WR,LAR,,,,,,
2024,5,15807,Cordarrelle Patterson,WR,PIT,,,,,,
2024,5,3926231,Britain Covey,WR,PHI,,,,,,
2024,5,4241263,Charlie Kolar,WR,BAL,,,,,,
2024,5,4569173,Rhamondre Stevenson,WR,NE,6.99,8.29,7.64,1.3,13.0,0.06
2024,5,3122168,Trent Sherfield Sr.,WR,MIN,1.01,1.61,1.31,0.6,7.28,0.05
2024,5,4242431,Ty Chandler,WR,MIN,4.89,6.05,5.47,1.17,8.67,0.06
2024,5,4045163,Miles Sanders,WR,CAR,4.5,5.89,5.2,1.4,10.44,0.03
2024,5,4426386,Roschon Johnson,WR,CHI,5.27,6.5,5.88,1.23,8.99,0.04
2024,5,4597500,Adonai Mitchell,WR,IND,3.81,5.67,4.74,1.87,24.45,0.15
2024,5,3914397,Scotty Miller,WR,PIT,0.59,0.95,0.77,0.36,4.62,0.02
2024,5,3916566,K.J. Osborn,WR,NE,,,,,,
2024,5,4362238,Chase Brown,WR,CIN,6.46,8.24,7.35,1.78,13.92,0.08
2024,5,3121410,Parris Campbell,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3930086,Dawson Knox,WR,BUF,,,,,,
2024,5,4043016,Dee Eskridge,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4249836,Pierre Strong Jr.,WR,CLE,1.48,2.6,2.04,1.12,7.97,0.01
2024,5,4365395,Julian Hill,WR,MIA,,,,,,
2024,5,3115255,Brandon Powell,WR,MIN,1.44,2.45,1.94,1.01,9.88,0.07
2024,5,15880,Robert Woods,WR,HOU,0.73,1.24,0.98,0.51,5.38,0.03
2024,5,3116389,Samaje Perine,WR,KC,4.36,6.33,5.35,1.97,15.66,0.08
2024,5,3127310,Drew Sample,WR,CIN,,,,,,
2024,5,4259305,Bo Melton,WR,GB,5.07,7.68,6.38,2.61,34.83,0.28
2024,5,4367209,Greg Dulcich,WR,DEN,,,,,,
2024,5,4431588,Ja'Tavion Sanders,WR,CAR,,,,,,
2024,5,4569987,Jaylen Warren,WR,PIT,,,,,,
2024,5,4362921,Tyquan Thornton,WR,NE,1.3,2.04,1.67,0.75,9.4,0.06
2024,5,4570409,David Bell,WR,CLE,,,,,,
2024,5,4722908,Drew Ogletree,WR,IND,,,,,,
2024,5,3051738,Marquez Valdes-Scantling,WR,BUF,2.67,3.97,3.32,1.3,19.92,0.11
2024,5,4243160,Laviska Shenault Jr.,WR,SEA,1.04,1.67,1.35,0.64,6.69,0.03
2024,5,4362478,Emari Demercado,WR,ARI,1.63,2.3,1.97,0.67,4.58,0.03
2024,5,4361372,Jeremy Ruckert,WR,NYJ,,,,,,
2024,5,4361409,Jahan Dotson,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4567156,Treylon Burks,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4573697,Mason Tipton,WR,NO,1.53,2.48,2.0,0.95,10.89,0.08
2024,5,2998565,Mo Alie-Cox,WR,IND,,,,,,
2024,5,4371733,Kenneth Gainwell,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4427278,Xavier Gipson,WR,NYJ,1.49,2.41,1.95,0.92,10.59,0.06
2024,5,4428085,Luke Musgrave,WR,GB,,,,,,
2024,5,2980453,Jamaal Williams,WR,NO,3.63,4.61,4.12,0.98,6.09,0.02
2024,5,4040774,Harrison Bryant,WR,LV,,,,,,
2024,5,4429086,Michael Mayer,WR,LV,,,,,,
2024,5,4432620,Parker Washington,WR,JAX,0.92,1.54,1.23,0.62,6.81,0.04
2024,5,2576399,Nick Vannett,WR,TEN,,,,,,
2024,5,4361516,Daniel Bellinger,WR,NYG,,,,,,
2024,5,4686472,Marvin Mims Jr.,WR,DEN,0.98,1.57,1.28,0.59,7.74,0.03
2024,5,3050481,Tanner Hudson,WR,CIN,,,,,,
2024,5,3120348,JuJu Smith-Schuster,WR,KC,3.65,6.1,4.87,2.45,27.0,0.16
2024,5,4360739,Simi Fehoko,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4912274,Sione Vaki,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3059915,Kareem Hunt,WR,KC,9.76,11.5,10.63,1.74,13.37,0.07
2024,5,3917668,Alec Ingold,WR,MIA,0.55,0.96,0.76,0.41,2.76,0.01
2024,5,4047422,Tanner Conner,WR,MIA,,,,,,
2024,5,4361777,Zamir White,WR,LV,,,,,,
2024,5,2576336,Ameer Abdullah,WR,LV,2.03,2.91,2.47,0.88,6.82,0.02
2024,5,3125116,D'Onta Foreman,WR,CLE,3.61,4.0,3.81,0.39,2.79,0.01
2024,5,4040612,Luke Farrell,WR,JAX,,,,,,
2024,5,4048228,John Bates,WR,WSH,,,,,,
2024,5,4212909,David Moore,WR,CAR,0.37,0.58,0.47,0.21,2.85,0.01
2024,5,4429501,Ray Davis,WR,BUF,3.56,4.21,3.88,0.65,4.62,0.03
