Year,Week,FantasyPros_ID,Player,Player,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank_rz,REC_rz,TGT_rz,REC PCT_rz,YDS_rz,Y/R_rz,TD_rz,TGT PCT_rz,ATT_rz,YDS_rz,TD_rz,PCT_rz,FL_rz,G_rz,FPTS_rz,FPTS/G_rz,ROST %_rz
2017,16,16433,Cooper Kupp,Cooper Kupp (SEA),1,4,65,57,0,8,-1,2,6,5,1,1,3,1,1,0,0,7,1,1,100.0%,14,14.0,1,33.3%,0,0,0,0%,0,1,7.4,7.4,86.6%
2017,17,10992,Doug Baldwin,Doug Baldwin (FA),1,4,90,65,0,25,4,0,5,4,0,1,4,3,0,0,0,4,1,1,100.0%,18,18.0,1,100.0%,0,0,0,0%,0,1,7.8,7.8,0.0%
2017,17,16427,JuJu Smith-Schuster,JuJu Smith-Schuster (KC),1,9,143,108,0,35,34,1,10,9,0,0,6,3,2,1,0,1,2,2,100.0%,31,15.5,1,100.0%,0,0,0,0%,0,1,9.1,9.1,1.8%
2017,17,11616,Keenan Allen,Keenan Allen (FA),1,9,133,74,0,59,8,0,12,10,1,1,6,3,0,0,0,7,2,2,100.0%,16,8.0,1,100.0%,0,0,0,0%,0,1,7.6,7.6,20.7%
2018,1,15528,Michael Thomas,Michael Thomas (FA),1,16,180,117,0,63,16,1,17,17,1,3,7,2,1,0,0,1,3,3,100.0%,21,7.0,1,75.0%,0,0,0,0.0%,0,1,8.1,8.1,1.2%
2018,2,9857,A.J. Green,A.J. Green (FA),1,5,69,38,0,31,28,1,9,7,1,2,2,1,1,0,0,2,2,3,66.7%,11,5.5,2,50.0%,0,0,0,0.0%,0,1,13.1,13.1,0.7%
2018,2,15528,Michael Thomas,Michael Thomas (FA),1,12,89,62,0,27,14,0,13,12,0,4,3,1,0,0,0,1,3,4,75.0%,21,7.0,2,100.0%,0,0,0,0%,0,1,14.1,14.1,1.2%
2018,2,16427,JuJu Smith-Schuster,JuJu Smith-Schuster (KC),1,13,121,54,0,67,7,0,19,14,0,5,6,1,0,0,0,3,5,8,62.5%,25,5.0,1,72.7%,0,0,0,0%,0,1,8.5,8.5,1.8%
2018,3,17258,Calvin Ridley,Calvin Ridley (TEN),1,7,146,102,0,44,1,0,8,7,0,2,5,1,1,1,1,1,2,2,100.0%,27,13.5,2,50.0%,0,0,0,0%,0,1,14.7,14.7,88.5%
2018,3,11610,Robert Woods,Robert Woods (PIT),1,10,104,78,0,26,15,0,11,10,0,2,5,2,0,0,0,2,3,3,100.0%,14,4.7,2,60.0%,0,0,0,0.0%,0,1,13.4,13.4,1.6%
2018,3,16377,Mike Williams,Mike Williams (FA),1,4,81,74,0,7,5,1,7,4,0,0,3,2,1,1,0,3,1,2,50.0%,20,20.0,1,66.7%,0,0,0,0%,0,1,8.0,8.0,13.7%
2018,3,15680,Jakeem Grant Sr.,Jakeem Grant Sr. (FA),1,2,70,16,0,54,26,1,3,2,0,1,2,1,1,1,1,4,1,1,100.0%,18,18.0,1,100.0%,0,0,0,0%,0,1,7.8,7.8,0.0%
2018,4,16433,Cooper Kupp,Cooper Kupp (SEA),1,9,162,71,0,91,16,1,11,9,0,2,7,2,1,1,1,7,2,3,66.7%,14,7.0,1,60.0%,0,0,0,0%,0,1,7.4,7.4,86.6%
2018,4,12888,Taylor Gabriel,Taylor Gabriel (FA),1,7,104,74,0,30,0,0,7,7,0,2,5,2,2,0,0,2,2,2,100.0%,6,3.0,2,50.0%,0,0,0,0%,0,1,12.6,12.6,0.1%
2018,5,9808,Antonio Brown,Antonio Brown (FA),1,6,101,67,0,34,10,2,13,7,1,2,4,1,1,1,0,6,1,4,25.0%,9,9.0,1,57.1%,0,0,0,0%,0,1,6.9,6.9,1.0%
2018,5,12123,Davante Adams,Davante Adams (LAR),1,9,140,92,0,48,8,0,12,9,0,1,6,3,1,0,0,5,1,2,50.0%,12,12.0,1,50.0%,0,0,0,0.0%,0,1,7.2,7.2,96.5%
2018,6,15802,Tyreek Hill,Tyreek Hill (MIA),1,7,142,106,0,36,0,0,12,7,0,1,4,2,1,1,1,5,2,2,100.0%,15,7.5,2,66.7%,0,0,0,0.0%,0,1,13.5,13.5,97.3%
2018,6,12123,Davante Adams,Davante Adams (LAR),1,10,132,100,0,32,5,2,16,10,0,3,6,1,1,0,0,2,2,5,40.0%,25,12.5,2,62.5%,0,0,0,0.0%,0,1,14.5,14.5,96.5%
2018,6,11459,Cole Beasley,Cole Beasley (FA),1,9,101,72,0,29,8,0,11,9,0,2,4,1,0,0,0,1,3,3,100.0%,34,11.3,2,50.0%,0,0,0,0%,0,1,15.4,15.4,0.0%
2018,6,11199,Alshon Jeffery,Alshon Jeffery (FA),1,8,74,38,0,36,9,0,12,9,1,2,4,0,0,0,0,3,3,3,100.0%,21,7.0,2,100.0%,0,0,0,0%,0,1,14.1,14.1,0.0%
2018,6,13429,Adam Thielen,Adam Thielen (CAR),1,11,123,89,0,34,8,0,13,11,0,2,6,0,0,0,0,7,2,2,100.0%,18,9.0,1,100.0%,0,0,0,0%,0,1,7.8,7.8,41.4%
2018,7,12127,Odell Beckham Jr.,Odell Beckham Jr. (FA),1,8,143,104,0,39,4,0,11,8,0,1,6,2,1,1,1,7,2,4,50.0%,17,8.5,1,57.1%,0,0,0,0%,0,1,7.7,7.7,1.1%
2018,7,12231,John Brown,John Brown (FA),1,7,134,90,0,44,4,0,7,7,0,2,6,1,1,1,1,5,2,2,100.0%,19,9.5,1,66.7%,0,0,0,0%,0,1,7.9,7.9,0.0%
2018,7,12128,Jarvis Landry,Jarvis Landry (FA),1,10,97,76,0,21,4,0,15,10,0,2,3,1,0,0,0,4,2,4,50.0%,25,12.5,1,80.0%,0,0,0,0%,0,1,8.5,8.5,7.1%
2018,8,11215,Marvin Jones Jr.,Marvin Jones Jr. (FA),1,7,117,114,0,3,0,0,10,7,0,1,5,1,1,0,0,3,1,1,100.0%,19,19.0,1,25.0%,0,0,0,0%,0,1,7.9,7.9,0.0%
2018,8,12118,Sammy Watkins,Sammy Watkins (FA),1,8,107,53,0,54,13,0,9,8,0,2,6,2,0,0,0,1,2,2,100.0%,23,11.5,2,100.0%,0,0,0,0%,0,1,14.3,14.3,0.0%
2018,8,15547,Tyler Boyd,Tyler Boyd (FA),1,9,138,79,0,59,8,0,10,10,1,1,5,3,0,0,0,8,1,1,100.0%,9,9.0,1,50.0%,0,0,0,0%,0,1,6.9,6.9,2.4%
2018,8,9383,Larry Fitzgerald,Larry Fitzgerald (FA),1,8,102,95,0,7,0,0,12,8,0,1,5,2,1,0,0,4,2,3,66.7%,18,9.0,1,60.0%,0,0,0,0%,0,1,7.8,7.8,0.8%
2018,9,14498,Adam Humphries,Adam Humphries (FA),1,8,82,29,0,53,15,1,8,8,0,1,3,1,1,0,0,2,2,2,100.0%,11,5.5,1,66.7%,1,7,0,100.0%,0,1,7.8,7.8,0.0%
