season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,rushing_yards,rush_yds_per_game,carries,carries_per_game,avg_yds_per_carry,carries_last3_games_played,avg_carries_last3_games_played,receptions,receptions_per_game,rec_last3_games_played,avg_rec_last3_games_played,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_12_carries_or_receptions_bool,avg_carries_last3_games_played_bool,avg_rec_last3_games_played_bool,avg_15_rec_or_carries_last3_games_bool,avg_4yds_per_carry_bool
2024,10,00-0033955,j,jeremy,mcnichols,WAS,7,"$5,300","$4,900",+400,183,26.1,34,4.9,5.38,16,5.3,1,0.1,0,0.0,8,27,3.4,2,15.1%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0038705,e,emari,demercado,ARI,9,"$5,000","$4,700",+300,175,19.4,17,1.9,10.29,9,3.0,11,1.2,7,2.3,0,0,0,0,0.0%,3,3,100.0%,15,5.0,0,100.0%,False,False,False,False,True
2024,10,00-0038040,z,nan,white,LV,7,,,,174,24.9,60,8.6,2.9,11,3.7,6,0.9,1,0.3,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0033925,d,nan,foreman,CLE,7,,,,155,22.1,46,6.6,3.37,17,5.7,5,0.7,2,0.7,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0039921,t,trey,benson,ARI,7,"$5,500","$5,000",+500,154,22.0,39,5.6,3.95,14,4.7,3,0.4,1,0.3,3,7,2.3,1,8.3%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0037276,t,ty,chandler,MIN,6,"$5,700","$5,000",+700,151,25.2,44,7.3,3.43,19,6.3,6,1.0,3,1.0,4,13,3.3,0,15.4%,1,1,100.0%,5,5.0,0,9.1%,False,False,False,False,False
2024,10,00-0037228,j,jaylen,warren,PIT,6,"$5,500",-,-,151,25.2,41,6.8,3.68,27,9.0,12,2.0,7,2.3,6,13,2.2,0,18.2%,1,3,33.3%,7,7.0,0,60.0%,False,False,False,False,False
2024,10,00-0033045,e,ezekiel,elliott,DAL,7,"$5,600","$5,700",-100,149,21.3,48,6.9,3.1,24,8.0,7,1.0,1,0.3,6,2,0.3,2,46.2%,1,2,50.0%,9,9.0,0,40.0%,False,False,False,False,False
2024,10,00-0039325,c,carson,steele,KC,8,"$5,300","$4,700",+600,149,18.6,44,5.5,3.39,11,3.7,3,0.4,1,0.3,9,28,3.1,0,21.4%,1,2,50.0%,2,2.0,0,25.0%,False,False,False,False,False
2024,10,00-0036414,c,nan,akers,HOU,5,,,,147,29.4,40,8.0,3.68,17,5.7,4,0.8,4,1.3,,,,,,,,,,,,,False,False,False,False,False
