Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Jakob Johnson(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaret Patterson(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Prentice(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Finley(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Omon(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willie Carter(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Alridge(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Brooks(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrion Davis-Price(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyreik McAllister(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Funk(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabari Small(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Watson(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brennan Clay(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Mims(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samkon Gado(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Wiley(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kene Nwangwu(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deneric Prince(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myles Gaskin(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Irons(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Weber(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Boone(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Harris(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Kelley(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Burton(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dillon Johnson(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Davis(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison Hedgecock(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emani Bailey(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
La'Mical Perine(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrynton Evans(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javian Hawkins(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owen Wright(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Milton(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keilan Robinson(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Mills(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dantrell Savage(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keaontay Ingram(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Miller(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ke'Shawn Vaughn(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Williams(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Holani(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colson Yankoff(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Burns(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Schrader(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zavier Scott(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Brightwell(FA),,,,0.0,,,
John Kelly Jr.(FA),,,,,,0.0,
