firstName,lastName,team,week,red_zone_pass_comp,red_zone_pass_att,red_zone_pass_pct,red_zone_pass_yds,red_zone_pass_y/a,red_zone_pass_td
Deshaun,Watson,CLE,6,1,3,33.3%,3,1.0,0
Dak,Prescott,DAL,6,2,5,40.0%,8,1.6,0
Daniel,Jones,NYG,6,0,1,0.0%,0,0.0,0
Cooper,Rush,DAL,6,1,4,25.0%,1,0.3,0
Jalen,Hurts,PHI,6,0,0,0%,0,0,0
,,,7,,,,,,
Lamar,Jackson,BAL,7,5,8,62.5%,54,6.8,4
Russell,Wilson,PIT,7,2,7,28.6%,15,2.1,2
Brock,Purdy,SF,7,4,6,66.7%,34,5.7,0
Jalen,Hurts,PHI,7,0,1,0.0%,0,0.0,0
Jordan,Love,GB,7,5,5,100.0%,36,7.2,2
Marcus,Mariota,WAS,7,4,4,100.0%,28,7.0,2
Josh,Allen,BUF,7,3,7,42.9%,22,3.1,2
Mahomes,II,KC,7,2,3,66.7%,8,2.7,0
Baker,Mayfield,TB,7,5,7,71.4%,42,6.0,1
Geno,Smith,SEA,7,2,4,50.0%,23,5.8,1
Jameis,Winston,CLE,7,2,5,40.0%,20,4.0,1
Joe,Burrow,CIN,7,1,1,100.0%,18,18.0,1
Kirk,Cousins,ATL,7,3,3,100.0%,18,6.0,1
Mason,Rudolph,TEN,7,4,5,80.0%,16,3.2,1
Drake,Maye,NE,7,1,3,33.3%,16,5.3,1
Jake,Haener,NO,7,1,1,100.0%,12,12.0,1
Tyler,Huntley,MIA,7,1,2,50.0%,10,5.0,1
Trevor,Lawrence,JAC,7,1,4,25.0%,6,1.5,1
Aaron,Rodgers,NYJ,7,1,5,20.0%,1,0.2,1
Kyler,Murray,ARI,7,2,2,100.0%,8,4.0,1
Bo,Nix,DEN,7,1,3,33.3%,9,3.0,0
Daniel,Jones,NYG,7,1,2,50.0%,6,3.0,0
Justin,Herbert,LAC,7,0,1,0.0%,0,0.0,0
Matthew,Stafford,LAR,7,0,2,0.0%,0,0.0,0
Minshew,II,LV,7,1,7,14.3%,0,0.0,0
,,,7,0,1,0.0%,0,0.0,0
,,,7,0,3,0.0%,0,0.0,0
Jayden,Daniels,WAS,7,2,2,100.0%,6,3.0,0
Andy,Dalton,CAR,7,1,1,100.0%,-3,-3.0,0
Anthony,Richardson,IND,7,0,1,0.0%,0,0.0,0
,,,8,,,,,,
Matthew,Stafford,LAR,8,3,4,75.0%,22,5.5,3
Sam,Darnold,MIN,8,3,5,60.0%,20,4.0,2
