season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,targets,targets_per_game,target_share,receptions,receptions_per_game,receiving_yards,receiving_yards_per_game,yds_per_reception,total_targets_last_3_games,avg_7tgs_last3_games,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_7tgs_per_game_bool,season_avg_10yds_per_reception_bool,avg_7tgs_last3_games_bool
2024,11,00-0039894,x,xavier,worthy,KC,9,"$6,000","$6,900",-900,43,4.8,0.157,20,2.2,246,27.3,12.3,14,4.7,4,7,57.1%,23,5.8,1,29.2%,False,True,True
2024,11,00-0036427,t,nan,johnson,LA,8,,,,32,4.0,0.128,21,2.6,245,30.6,11.67,10,3.3,,,,,,,,False,True,True
2024,11,00-0030279,k,keenan,allen,CHI,7,"$5,800","$6,000",-200,48,6.9,0.252,26,3.7,241,34.4,9.27,23,7.7,2,6,33.3%,12,6.0,2,24.0%,False,False,True
2024,11,00-0036196,g,nan,davis,JAX,8,,,,39,4.9,0.168,19,2.4,236,29.5,12.42,14,4.7,,,,,,,,False,True,True
2024,11,00-0038124,c,christian,watson,GB,7,"$5,700",-,-,27,3.9,0.126,16,2.3,233,33.3,14.56,15,5.0,1,5,20.0%,2,2.0,1,21.7%,False,True,True
2024,11,00-0035208,o,olamide,zaccheaus,WAS,8,"$5,100","$5,000",+100,32,4.0,0.145,22,2.8,232,29.0,10.55,11,3.7,3,3,100.0%,18,6.0,0,14.3%,False,True,True
2024,11,00-0038619,a,andrei,iosivas,CIN,10,"$5,500","$6,000",-500,35,3.5,0.103,17,1.7,228,22.8,13.41,11,3.7,4,6,66.7%,19,4.8,4,17.1%,False,True,True
2024,11,00-0039424,d,devaughn,vele,DEN,6,"$5,200","$4,900",+300,27,4.5,0.135,22,3.7,215,35.8,9.77,10,3.3,2,2,100.0%,9,4.5,1,7.1%,False,False,True
2024,11,00-0039890,a,adonai,mitchell,IND,10,"$5,300","$5,200",+100,38,3.8,0.13,18,1.8,211,21.1,11.72,11,3.7,0,3,0.0%,0,0,0,12.5%,False,True,True
2024,11,00-0035406,l,liljordan,humphrey,DEN,10,"$4,500","$4,600",-100,35,3.5,0.11,23,2.3,211,21.1,9.17,14,4.7,2,6,33.3%,15,7.5,0,21.4%,False,False,True
2024,11,00-0031381,d,nan,adams,LV,3,,,,27,9.0,0.251,18,6.0,209,69.7,11.61,30,10.0,,,,,,,,True,True,True
2024,11,00-0031381,d,davante,adams,NYJ,4,"$7,400","$7,600",-200,39,9.8,0.302,20,5.0,206,51.5,10.3,30,10.0,3,11,27.3%,16,5.3,1,40.7%,True,True,True
2024,11,00-0031549,n,nelson,agholor,BAL,10,"$5,100","$5,100",0,25,2.5,0.093,13,1.3,205,20.5,15.77,8,2.7,2,2,100.0%,17,8.5,2,16.7%,False,True,True
2024,11,00-0039751,j,nan,whittington,LA,4,,,,23,5.8,0.176,18,4.5,201,50.2,11.17,21,7.0,,,,,,,,False,True,True
2024,11,00-0033555,m,mack,hollins,BUF,9,"$5,600","$5,100",+500,29,3.2,0.112,16,1.8,197,21.9,12.31,10,3.3,3,4,75.0%,20,6.7,3,17.4%,False,True,True
2024,11,00-0038393,d,dontayvion,wicks,GB,9,"$5,000",-,-,43,4.8,0.162,16,1.8,192,21.3,12.0,11,3.7,4,7,57.1%,42,10.5,3,30.4%,False,True,True
2024,11,00-0035500,g,nan,dortch,ARI,10,,,,33,3.3,0.117,22,2.2,187,18.7,8.5,4,1.3,,,,,,,,False,False,False
2024,11,00-0033009,t,tyler,boyd,TEN,8,"$4,600","$4,700",-100,30,3.8,0.143,21,2.6,184,23.0,8.76,14,4.7,2,6,33.3%,13,6.5,0,40.0%,False,False,True
2024,11,00-0033943,j,josh,reynolds,DEN,5,"$4,500","$4,500",0,19,3.8,0.112,12,2.4,183,36.6,15.25,6,2.0,2,2,100.0%,14,7.0,1,7.1%,False,True,False
2024,11,00-0037801,k,kavontae,turpin,DAL,7,"$5,200","$5,600",-400,28,4.0,0.095,17,2.4,181,25.9,10.65,15,5.0,2,4,50.0%,25,12.5,1,14.8%,False,True,True
2024,11,00-0033375,t,tim,patrick,DET,7,"$4,900","$4,800",+100,15,2.1,0.082,12,1.7,177,25.3,14.75,5,1.7,1,1,100.0%,8,8.0,0,5.0%,False,True,False
2024,11,00-0034386,j,justin,watson,KC,8,"$4,800","$5,200",-400,18,2.2,0.07,15,1.9,177,22.1,11.8,9,3.0,2,2,100.0%,12,6.0,0,8.3%,False,True,True
2024,11,00-0032464,k,kalif,raymond,DET,7,"$4,800","$5,000",-200,18,2.6,0.112,14,2.0,174,24.9,12.43,7,2.3,2,2,100.0%,8,4.0,1,10.0%,False,True,True
2024,11,00-0030564,d,nan,hopkins,TEN,6,,,,21,3.5,0.131,15,2.5,173,28.8,11.53,17,5.7,,,,,,,,False,True,True
2024,11,00-0030564,d,deandre,hopkins,KC,3,"$6,700","$6,000",+700,17,5.7,0.142,14,4.7,171,57.0,12.21,17,5.7,3,5,60.0%,17,5.7,3,20.8%,False,True,True
2024,11,00-0032385,s,nan,shepard,TB,7,,,,25,3.6,0.099,16,2.3,166,23.7,10.38,13,4.3,,,,,,,,False,True,True
2024,11,00-0033536,m,nan,williams,NYJ,7,,,,21,3.0,0.079,12,1.7,166,23.7,13.83,5,1.7,,,,,,,,False,True,False
2024,11,00-0033857,j,juju,smith-schuster,KC,3,"$5,200","$5,500",-300,12,4.0,0.119,9,3.0,147,49.0,16.33,12,4.0,1,3,33.3%,13,13.0,1,12.5%,False,True,True
2024,11,00-0036630,t,tylan,wallace,BAL,2,"$4,700","$4,300",+400,5,2.5,0.071,5,2.5,146,73.0,29.2,5,1.7,,,,,,,,False,True,False
2024,11,00-0036626,d,dyami,brown,WAS,9,"$4,800","$4,800",0,18,2.0,0.073,13,1.4,145,16.1,11.15,5,1.7,1,4,25.0%,11,11.0,0,19.0%,False,True,False
2024,11,00-0039868,t,troy,franklin,DEN,9,"$5,000","$5,100",-100,30,3.3,0.114,15,1.7,144,16.0,9.6,9,3.0,2,4,50.0%,8,4.0,1,14.3%,False,False,True
2024,11,00-0036415,v,van,jefferson,PIT,7,"$4,400","$5,100",-700,23,3.3,0.131,14,2.0,139,19.9,9.93,10,3.3,3,5,60.0%,17,5.7,1,25.0%,False,False,True
2024,11,00-0036182,n,nick,westbrook-ikhine,TEN,5,"$5,400","$5,400",0,19,3.8,0.127,13,2.6,139,27.8,10.69,13,4.3,4,6,66.7%,24,6.0,4,40.0%,False,True,True
2024,11,00-0039355,l,luke,mccaffrey,WAS,7,"$4,400","$4,100",+300,16,2.3,0.083,13,1.9,134,19.1,10.31,6,2.0,2,3,66.7%,15,7.5,0,14.3%,False,True,False
2024,11,00-0039916,r,ricky,pearsall,SF,3,"$5,800","$5,700",+100,15,5.0,0.166,11,3.7,132,44.0,12.0,15,5.0,1,2,50.0%,6,6.0,0,6.7%,False,True,True
2024,11,00-0033282,c,curtis,samuel,BUF,9,"$5,000","$4,900",+100,27,3.0,0.108,16,1.8,127,14.1,7.94,10,3.3,0,3,0.0%,0,0,0,13.0%,False,False,True
2024,11,00-0039052,t,nan,palmer,TB,7,,,,16,2.3,0.062,9,1.3,123,17.6,13.67,7,2.3,,,,,,,,False,True,True
2024,11,00-0034418,c,nan,wilson,NO,4,,,,14,3.5,0.102,11,2.8,122,30.5,11.09,13,4.3,,,,,,,,False,True,True
2024,11,00-0039062,j,nan,mingo,CAR,8,,,,26,3.2,0.099,12,1.5,121,15.1,10.08,5,1.7,,,,,,,,False,True,False
2024,11,00-0033589,d,nan,moore,CAR,7,,,,22,3.1,0.108,13,1.9,121,17.3,9.31,13,4.3,,,,,,,,False,False,True
2024,11,00-0039386,b,nan,means,NO,4,,,,15,3.8,0.102,9,2.2,118,29.5,13.11,14,4.7,,,,,,,,False,True,True
2024,11,00-0034272,m,marquez,valdes-scantling,NO,2,"$5,900","$4,900","+1,000",4,2.0,0.089,4,2.0,114,57.0,28.5,7,2.3,1,1,100.0%,2,2.0,1,4.3%,False,True,True
2024,11,00-0037614,j,nan,metchie,HOU,4,,,,13,3.2,0.098,9,2.2,110,27.5,12.22,12,4.0,,,,,,,,False,True,True
2024,11,00-0039855,j,nan,mcmillan,TB,6,,,,22,3.7,0.099,10,1.7,109,18.2,10.9,16,5.3,,,,,,,,False,True,True
2024,11,00-0030035,a,nan,thielen,CAR,3,,,,12,4.0,0.129,8,2.7,109,36.3,13.62,12,4.0,,,,,,,,False,True,True
2024,11,00-0038606,p,nan,washington,JAX,6,,,,15,2.5,0.098,9,1.5,108,18.0,12.0,13,4.3,,,,,,,,False,True,True
2024,11,00-0038640,j,jalen,brooks,DAL,8,"$4,500","$4,900",-400,24,3.0,0.075,8,1.0,107,13.4,13.38,10,3.3,0,3,0.0%,0,0,0,11.1%,False,True,True
2024,11,00-0036646,s,simi,fehoko,LAC,5,"$4,000","$4,400",-400,16,3.2,0.111,6,1.2,106,21.2,17.67,9,3.0,0,2,0.0%,0,0,0,12.5%,False,True,True
2024,11,00-0036527,d,dj,turner,LV,7,"$5,100",-,-,21,3.0,0.107,10,1.4,99,14.1,9.9,15,5.0,1,3,33.3%,11,11.0,1,11.1%,False,False,True
2024,11,00-0039810,j,jermaine,burton,CIN,3,"$4,700","$4,900",-200,10,3.3,0.078,3,1.0,99,33.0,33.0,10,3.3,1,3,33.3%,11,11.0,0,8.6%,False,True,True
2024,11,00-0039623,m,mason,tipton,NO,8,"$5,000","$5,700",-700,25,3.1,0.096,14,1.8,99,12.4,7.07,14,4.7,1,1,100.0%,6,6.0,0,7.7%,False,False,True
2024,11,00-0037741,j,jahan,dotson,PHI,8,"$4,900","$5,200",-300,15,1.9,0.073,8,1.0,98,12.2,12.25,3,1.0,0,1,0.0%,0,0,0,7.7%,False,True,False
