year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,passing_attempts,passing_completions,passing_yards,passing_tds,This Week,Last Week,Difference
2024,7,4038524,Gardner Minshew,Gardner,Minshew,QB,LV,,,,,,,,,,
2024,7,16757,Derek Carr,Derek,Carr,QB,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$7,100","$7,500",-400
2024,7,14012,Andy Dalton,Andy,Dalton,QB,CAR,15.48,15.48,15.48,36.19,23.38,256.24,1.37,"$7,300","$7,100",+200
2024,7,4038941,Justin Herbert,Justin,Herbert,QB,LAC,15.23,15.23,15.23,31.42,20.63,221.22,1.42,"$7,000","$7,200",-200
2024,7,11252,Joe Flacco,Joe,Flacco,QB,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$7,400","$7,200",+200
2024,7,4361418,Will Levis,Will,Levis,QB,TEN,12.76,12.76,12.76,31.1,20.23,203.63,1.03,"$6,600","$6,600",0
2024,7,2578570,Jacoby Brissett,Jacoby,Brissett,QB,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,400","$6,400",0
2024,7,4429084,Anthony Richardson,Anthony,Richardson,QB,IND,17.43,17.43,17.43,29.33,17.7,207.83,1.19,"$7,400","$7,300",+100
2024,7,4241479,Tua Tagovailoa,Tua,Tagovailoa,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000",-,-
2024,7,4260394,Aidan O'Connell,Aidan,O'Connell,QB,LV,12.57,12.57,12.57,32.9,21.14,225.24,1.02,,,
2024,7,4242512,Malik Willis,Malik,Willis,QB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,4685720,Bryce Young,Bryce,Young,QB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,4035671,Tyler Huntley,Tyler,Huntley,QB,MIA,13.9,13.9,13.9,29.26,18.75,191.69,0.93,"$6,700",-,-
2024,7,4431452,Drake Maye,Drake,Maye,QB,NE,15.32,15.32,15.32,31.75,20.28,217.46,1.21,"$6,000","$6,000",0
2024,7,4426339,Spencer Rattler,Spencer,Rattler,QB,NO,11.8,11.8,11.8,32.09,19.49,199.8,0.93,"$7,100","$6,000","+1,100"
2024,7,4036419,Skylar Thompson,Skylar,Thompson,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000",-,-
2024,7,3116407,Mason Rudolph,Mason,Rudolph,QB,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,600",-600
2024,7,3045169,Tim Boyle,Tim,Boyle,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000",-,-
2024,7,4242546,Davis Mills,Davis,Mills,QB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,2972515,Cooper Rush,Cooper,Rush,QB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,14163,Tyrod Taylor,Tyrod,Taylor,QB,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,4241464,Mac Jones,Mac,Jones,QB,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
