season,player_name,count_of_weeks
2022,D.Adams,16
2022,A.Brown,15
2022,C.Lamb,15
2022,D.Smith,15
2022,C.Godwin,14
2022,C.Kirk,14
2022,D.Johnson,14
2022,D.Metcalf,14
2022,J.Chase,14
2022,J.Jefferson,14
2022,S.Diggs,14
2022,T.Hill,14
2022,A.St. Brown,13
2022,G.Wilson,12
2022,M.Evans,12
2022,M.Pittman,12
2022,T.Higgins,12
2022,C.Sutton,11
2022,D.Samuel,11
2022,T.Lockett,11
2022,Z.Jones,11
2022,A.Cooper,10
2022,A.Thielen,10
2022,D.London,10
2022,B.Aiyuk,9
2022,J.Jeudy,9
2022,J.Smith-Schuster,9
2022,M.Brown,9
2022,C.Olave,8
2022,J.Palmer,8
2022,K.Allen,8
2022,T.McLaurin,8
2022,A.Lazard,7
2022,B.Cooks,7
2022,C.Kupp,7
2022,C.Samuel,7
2022,D.Hopkins,7
2022,D.Moore,7
2022,J.Waddle,7
2022,G.Davis,6
2022,J.Meyers,6
2022,M.Hollins,6
2022,M.Williams,6
2022,R.Woods,6
2022,D.Peoples-Jones,5
2022,D.Slayton,5
2022,G.Dortch,5
2022,M.Gallup,5
2022,M.Valdes-Scantling,5
2022,N.Collins,5
2022,R.Moore,5
2022,A.Pierce,4
2022,D.Robinson,4
2022,E.Moore,4
2022,J.Dotson,4
2022,K.Osborn,4
2022,M.Jones,4
2022,N.Brown,4
2022,P.Campbell,4
2022,R.Doubs,4
2022,R.James,4
2022,T.Boyd,4
2022,B.Skowronek,3
2022,C.Claypool,3
2022,C.Davis,3
2022,C.Moore,3
2022,C.Watson,3
2022,G.Pickens,3
2022,H.Renfrow,3
2022,J.Reynolds,3
2022,O.Zaccheaus,3
2022,R.Gage,3
2022,S.Miller,3
2022,T.Burks,3
2022,A.Green,2
2022,D.Carter,2
2022,D.Chark,2
2022,D.Mooney,2
2022,D.Parker,2
2022,I.Hodgins,2
2022,I.McKenzie,2
2022,J.Jones,2
2022,K.Raymond,2
2022,M.Thomas,2
2022,N.Agholor,2
2022,N.Westbrook-Ikhine,2
2022,S.Shepard,2
2022,W.Robinson,2
2022,A.Dulin,1
2022,A.Robinson,1
2022,D.Duvernay,1
2022,D.Pettis,1
2022,D.Thompkins,1
2022,E.St. Brown,1
2022,J.Jennings,1
2022,J.Landry,1
2022,K.Bourne,1
2022,K.Golladay,1
2022,K.Hinton,1
2022,K.Philips,1
2022,K.Toney,1
2022,L.Treadwell,1
2022,M.Bandy,1
2022,M.Callaway,1
2022,M.Hardman,1
2022,R.Bateman,1
2022,R.Chosen,1
2022,R.Cobb,1
2022,S.Moore,1
2022,T.Atwell,1
2022,T.Marshall,1
2022,T.Thornton,1
2022,V.Jefferson,1
2021,C.Kupp,21
2021,D.Moore,17
2021,D.Adams,16
2021,J.Jefferson,15
2021,S.Diggs,15
2021,A.Brown,14
2021,D.Johnson,14
2021,K.Allen,14
2021,T.Hill,14
2021,J.Chase,13
2021,M.Brown,13
2021,D.Mooney,12
2021,H.Renfrow,12
2021,J.Waddle,12
2021,D.Metcalf,11
2021,J.Meyers,11
2021,M.Evans,11
2021,T.Higgins,11
2021,T.McLaurin,11
2021,A.Thielen,10
2021,B.Cooks,10
2021,D.Samuel,10
2021,A.St. Brown,9
2021,C.Claypool,9
2021,C.Godwin,9
2021,C.Lamb,9
2021,L.Shenault,9
2021,M.Jones,9
2021,M.Pittman,9
2021,O.Beckham,9
2021,A.Cooper,8
2021,C.Beasley,8
2021,J.Landry,8
2021,M.Williams,8
2021,R.Chosen,8
2021,C.Kirk,7
2021,D.Parker,7
2021,D.Smith,7
2021,R.Gage,7
2021,T.Lockett,7
2021,Z.Jones,7
2021,B.Aiyuk,6
2021,C.Davis,6
2021,K.Golladay,6
2021,K.Osborn,6
2021,T.Boyd,6
2021,V.Jefferson,6
2021,A.Green,5
2021,C.Ridley,5
2021,C.Sutton,5
2021,D.Hopkins,5
2021,E.Moore,5
2021,J.Crowder,5
2021,M.Gallup,5
2021,R.McCloud,5
2021,B.Berrios,4
2021,B.Pringle,4
2021,C.Wilson,4
2021,D.Harty,4
2021,D.Slayton,4
2021,G.Davis,4
2021,J.Smith-Schuster,4
2021,K.Toney,4
2021,M.Callaway,4
2021,M.Hardman,4
2021,M.Valdes-Scantling,4
2021,R.Bateman,4
2021,R.Woods,4
2021,S.Shepard,4
2021,S.Watkins,4
2021,T.Smith,4
2021,Z.Pascal,4
2021,E.Sanders,3
2021,J.Jeudy,3
2021,J.Jones,3
2021,J.Reynolds,3
2021,K.Bourne,3
2021,K.Raymond,3
2021,N.Westbrook-Ikhine,3
2021,Q.Watkins,3
2021,A.Humphries,2
2021,A.Robinson,2
2021,D.Amendola,2
2021,D.Peoples-Jones,2
2021,H.Ruggs,2
2021,J.Agnew,2
2021,J.Palmer,2
2021,J.Reagor,2
2021,L.Treadwell,2
2021,N.Agholor,2
2021,N.Collins,2
2021,R.Moore,2
2021,T.Johnson,2
2021,T.Montgomery,2
2021,T.Patrick,2
2021,A.Lazard,1
2021,A.Wesley,1
2021,A.Wilson,1
2021,C.Grayson,1
2021,C.Johnson,1
2021,D.Byrd,1
2021,D.Carter,1
2021,D.Chark,1
2021,D.Pettis,1
2021,I.McKenzie,1
2021,J.Grant,1
2021,J.Guyton,1
2021,J.Jennings,1
2021,J.Proche,1
2021,K.Cole,1
2021,K.Hodge,1
2021,K.Wilkerson,1
2021,M.Goodwin,1
2021,M.Turner,1
2021,N.Brown,1
2021,O.Zaccheaus,1
2021,Q.Cephus,1
2021,R.Higgins,1
2021,T.Austin,1
2020,S.Diggs,18
2020,A.Brown,16
2020,D.Hopkins,15
2020,A.Robinson,14
2020,D.Adams,14
2020,T.McLaurin,14
2020,C.Ridley,13
2020,R.Woods,13
2020,D.Johnson,12
2020,K.Allen,12
2020,R.Chosen,12
2020,D.Metcalf,11
2020,J.Smith-Schuster,11
2020,M.Evans,11
2020,T.Hill,11
2020,A.Cooper,10
