player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Chris Godwin,2020,7,5.18,3,7,0.7972452571197899,0.047,1.0
Chris Godwin,2021,10,7.246,4,10,0.9420636921142858,0.005,0.999
Chris Godwin,2022,11,7.699,4,11,1.2459530488746355,0.008,0.997
Chris Godwin,2023,14,9.115,5,13,1.3739632455054973,0.0,0.971
Chris Godwin,2024,4,3.322,1,4,0.7431796552651317,0.476,0.987
Chris Hogan,2017,4,2.258,0,4,0.7651378960684145,0.001,0.85
Chris Hogan,2018,2,1.935,1,2,0.246525860712421,0.935,1.0
Chris Hogan,2020,1,0.308,0,1,0.4616665463297075,0.308,1.0
Chris Moore,2022,6,3.777,2,6,0.8241789854151828,0.015,0.944
Chris Olave,2022,10,7.604,3,10,1.1256926756446448,0.024,0.996
Chris Olave,2023,13,6.594,4,9,0.9639315328383027,0.0,0.874
Chris Olave,2024,2,1.978,1,2,0.14668333238647124,0.978,1.0
Christian Blake,2019,1,0.958,0,1,0.20058913230780973,0.958,1.0
Christian Kirk,2018,7,4.378,1,7,1.0055426395732803,0.002,0.966
Christian Kirk,2019,10,5.042,3,8,0.9371424651567124,0.0,0.706
Christian Kirk,2020,7,4.171,2,6,0.8134857097699996,0.0,0.995
Christian Kirk,2021,9,6.265,3,9,1.0994430408165765,0.014,0.99
Christian Kirk,2022,12,7.436,5,11,0.9715472196450361,0.0,0.991
Christian Kirk,2023,8,6.452,4,8,0.8658498715135321,0.119,1.0
Christian Kirk,2024,3,1.968,0,3,0.6332266576826974,0.177,0.992
Christian Watson,2022,7,5.427,3,7,0.9636757753518554,0.126,1.0
Christian Watson,2023,4,2.286,1,4,0.5255511392814214,0.017,0.981
Christian Watson,2024,4,2.495,1,4,0.7962254705797849,0.1,0.908
Cody Latimer,2017,1,0.474,0,1,0.4993235424051224,0.474,1.0
Cody Latimer,2018,1,0.996,0,1,0.063118935352238,0.996,1.0
Cody Latimer,2019,2,1.441,0,2,0.6037540890130683,0.5,0.941
Cole Beasley,2017,5,1.567,0,4,0.7768597041937495,0.0,0.475
Cole Beasley,2018,8,6.799,4,8,0.8969944258466716,0.224,1.0
Cole Beasley,2019,9,5.745,4,8,0.7014092956327284,0.0,1.0
Cole Beasley,2020,8,5.991,4,8,0.8043127501165203,0.013,1.0
Cole Beasley,2021,7,3.928,2,7,0.9964015254906026,0.003,0.934
Collin Johnson,2020,2,1.982,1,2,0.132951118836962,0.982,1.0
Cooper Kupp,2017,10,8.685,5,10,0.9908455984662798,0.217,1.0
Cooper Kupp,2018,4,3.201,2,4,0.4249694106638736,0.211,1.0
Cooper Kupp,2019,9,5.521,4,8,0.8726734784557165,0.0,1.0
Cooper Kupp,2020,12,6.77,3,11,1.181143513718803,0.0,0.868
Cooper Kupp,2021,13,11.981,10,13,0.5887605625379472,0.152,1.0
Cooper Kupp,2022,6,4.211,2,5,0.7088575315252,0.0,0.999
Cooper Kupp,2023,8,2.365,1,5,0.563715353702558,0.0,0.034
Cooper Kupp,2024,6,4.471,3,6,0.5719781464356833,0.005,1.0
Corey Coleman,2017,4,2.005,0,3,0.45052746864092535,0.0,0.909
Corey Davis,2017,5,2.628,1,5,0.8704113969842078,0.017,0.922
Corey Davis,2018,8,4.011,2,8,0.9637836894241363,0.001,0.688
Corey Davis,2019,7,4.967,2,7,0.8682804846361574,0.014,0.996
Corey Davis,2020,6,5.367,4,6,0.5461785422368769,0.4,1.0
Corey Davis,2021,4,3.297,2,4,0.6758631518288298,0.421,1.0
Corey Davis,2022,3,2.06,1,3,0.3292415526630866,0.086,1.0
Courtland Sutton,2018,8,5.646,2,8,0.8262469364542296,0.007,0.993
Courtland Sutton,2019,13,9.427,6,13,1.025997563349933,0.003,1.0
Courtland Sutton,2021,6,3.751,2,6,0.6877492275531831,0.003,0.993
Courtland Sutton,2022,9,6.101,2,9,1.0376892598461258,0.002,0.991
Courtland Sutton,2023,8,6.173,3,8,0.9343826839148935,0.057,0.998
Courtland Sutton,2024,13,9.895,6,13,1.0835012690347898,0.001,1.0
Curtis Samuel,2017,2,1.231,0,2,0.5827855523260679,0.312,0.919
Curtis Samuel,2018,4,3.539,1,4,0.5643394368640207,0.573,0.999
Curtis Samuel,2019,10,4.937,1,10,1.16405798824629,0.001,0.641
Curtis Samuel,2020,10,7.231,4,10,0.9927935334197137,0.001,0.999
Curtis Samuel,2022,7,4.246,1,7,0.9815722082455268,0.001,0.964
Curtis Samuel,2023,8,4.726,2,7,0.7993272171019825,0.0,0.957
Curtis Samuel,2024,3,2.517,1,3,0.5828473213458221,0.562,1.0
D.J. Chark,2018,3,1.426,0,3,0.7060623201956043,0.042,0.915
D.J. Chark,2019,12,6.17,3,10,1.217825931732446,0.0,0.7
D.J. Chark,2020,9,4.506,1,8,1.0807238315129355,0.0,0.839
D.J. Chark,2022,4,3.128,2,4,0.3400235285976545,0.13,1.0
D.J. Chark,2023,5,2.141,1,5,0.7855692203746274,0.003,0.8
D.J. Moore,2018,10,6.856,5,9,0.8861512286286127,0.0,1.0
D.J. Moore,2019,11,9.776,7,11,0.8245144025424905,0.194,1.0
D.J. Moore,2020,10,8.19,5,10,0.9898989847454134,0.082,1.0
D.J. Moore,2021,11,6.93,3,10,1.056929515152264,0.0,0.99
D.J. Moore,2022,12,7.71,5,10,0.8389874850079707,0.0,0.996
D.J. Moore,2023,15,10.997,7,14,1.3449873605354066,0.0,1.0
D.J. Moore,2024,13,7.798,5,11,1.0359517363275181,0.0,0.993
DJ Turner,2024,1,0.109,0,1,0.3116392144772541,0.109,1.0
DK Metcalf,2019,9,6.865,5,9,0.6948201206067653,0.004,1.0
DK Metcalf,2020,11,6.946,4,10,0.9138293057239957,0.0,0.999
DK Metcalf,2021,10,5.476,2,9,1.1846619771057059,0.0,0.807
DK Metcalf,2022,13,8.268,5,12,1.069661628740603,0.0,0.995
DK Metcalf,2023,12,8.552,5,11,0.9835120741505922,0.0,0.999
DK Metcalf,2024,10,7.048,3,10,1.2384248059531107,0.011,0.985
DaeSean Hamilton,2018,4,2.824,0,4,0.8848864333913139,0.241,0.934
DaeSean Hamilton,2019,4,2.084,0,4,0.406132983147146,0.002,0.96
DaeSean Hamilton,2020,3,2.67,1,3,0.4723346271447818,0.671,1.0
