season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
2024,REG,10,23791,Alec Pierce,IND,6,Alec Pierce(IND),1,4,81,20.3,74,18.5,118,29.5,7,1.8,3,0.8,0,7,20.0%,5,1,2,4,2,1,0,0,32
2024,REG,10,22895,John Metchie III,HOU,7,John Metchie III(HOU),1,5,74,14.8,54,10.8,68,13.6,20,4.0,2,0.4,0,6,18.8%,5,0,1,3,1,0,0,0,25
2024,REG,10,26214,Ricky Pearsall,SF,8,Ricky Pearsall(SF),1,4,73,18.3,38,9.5,62,15.5,35,8.8,8,2.0,1,6,17.6%,4,0,1,2,1,1,1,0,46
2024,REG,11,19799,Amon-Ra St. Brown,DET,1,Amon-Ra St. Brown(DET),1,11,161,14.6,103,9.4,103,9.4,58,5.3,15,1.4,0,11,35.5%,11,0,2,7,4,0,0,0,27
2024,REG,11,16433,Cooper Kupp,SEA,2,Cooper Kupp(SEA),1,6,106,17.7,42,7.0,92,15.3,64,10.7,4,0.7,0,10,37.0%,6,0,3,2,1,1,1,1,69
2024,REG,11,19211,Tee Higgins,CIN,3,Tee Higgins(CIN),1,9,148,16.4,111,12.3,153,17.0,37,4.1,25,2.8,1,13,28.3%,9,0,3,5,4,1,1,0,42
2024,REG,11,19201,Jerry Jeudy,CLE,4,Jerry Jeudy(CLE),1,6,142,23.7,69,11.5,146,24.3,73,12.2,0,0.0,0,11,24.4%,6,0,1,4,2,1,1,1,89
2024,REG,11,19788,Ja'Marr Chase,CIN,5,Ja'Marr Chase(CIN),1,7,75,10.7,45,6.4,149,21.3,30,4.3,4,0.6,0,13,28.3%,8,1,5,3,1,1,0,0,32
2024,REG,11,23677,Jameson Williams,DET,6,Jameson Williams(DET),1,4,124,31.0,50,12.5,72,18.0,74,18.5,0,0.0,0,6,19.4%,5,1,0,3,3,1,1,1,64
2024,REG,11,23180,Puka Nacua,LA,7,Puka Nacua(LAR),1,7,123,17.6,77,11.0,116,16.6,46,6.6,20,2.9,1,9,33.3%,7,0,2,6,3,1,0,0,37
2024,REG,11,19747,Nick Westbrook-Ikhine,MIA,8,Nick Westbrook-Ikhine(MIA),1,2,117,58.5,52,26.0,101,50.5,65,32.5,0,0.0,0,6,20.7%,3,1,0,2,1,1,1,1,98
