season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %,merge_name,merge_key,season_dfs,week_dfs,player_id,player,dk_position,fd_position,team,opponent,dk_salary,fd_salary,dk_fpts,fd_fpts,merge_name_dfs
2023,REG,16,17292,dj chark jr.,ATL,1,DJ Chark Jr.(ATL),2,2,1.0,0,10.5,0,1.0,0,0.0,0,1,14.1,14.1,0.007,dj chark jr,dj chark jr_2023_16,,,,,,,,,,,,,
2023,REG,16,17258,calvin ridley,TEN,2,Calvin Ridley(TEN),2,3,0.667,0,9.5,0,0.75,0,0.0,0,1,13.9,13.9,0.886,calvin ridley,calvin ridley_2023_16,2023,16,calvin-ridley,Calvin Ridley,WR,WR,JAX,Tampa Bay Buccaneers,6300,6800,25.8,22.8,calvin ridley
2023,REG,16,20116,ihmir smith-marsette,NYG,3,Ihmir Smith-Marsette(NYG),0,0,0.0,20,0.0,1,0.0,1,1.0,0,1,8.0,8.0,0.006,ihmir smithmarsette,ihmir smithmarsette_2023_16,2023,16,ihmir-smith-marsette,Ihmir Smith-Marsette,WR,WR,CAR,Green Bay Packers,3000,4600,12.1,11.6,ihmir smithmarsette
2023,REG,16,19708,k.j. osborn,WAS,4,K.J. Osborn(WAS),2,2,1.0,0,10.0,0,0.5,0,0.0,0,1,8.0,8.0,0.014,kj osborn,kj osborn_2023_16,2023,16,k-j-osborn,K.J. Osborn,WR,WR,MIN,Detroit Lions,3900,5000,20.5,18.0,kj osborn
2023,REG,16,22916,zay flowers,BAL,5,Zay Flowers(BAL),2,3,0.667,0,9.5,0,0.429,0,0.0,0,1,7.9,7.9,0.94,zay flowers,zay flowers_2023_16,2023,16,zay-flowers,Zay Flowers,WR,WR,BAL,San Francisco 49ers,5500,6000,22.2,17.7,zay flowers
2023,REG,16,13894,amari cooper,FA,6,Amari Cooper(FA),2,4,0.5,0,9.0,0,0.571,0,0.0,0,1,7.8,7.8,0.091,amari cooper,amari cooper_2023_16,2023,16,amari-cooper,Amari Cooper,WR,WR,CLE,Houston Texans,6400,7500,54.5,46.0,amari cooper
2023,REG,16,12122,brandin cooks,NO,7,Brandin Cooks(NO),1,1,1.0,9,8.0,0,0.333,1,1.0,0,1,7.7,7.7,0.048,brandin cooks,brandin cooks_2023_16,2023,16,brandin-cooks,Brandin Cooks,WR,WR,DAL,Miami Dolphins,4900,6100,10.3,9.3,brandin cooks
2023,REG,16,23012,ronnie bell,DET,8,Ronnie Bell(DET),1,1,1.0,0,12.0,0,0.25,0,0.0,0,1,7.2,7.2,0.0,ronnie bell,ronnie bell_2023_16,2023,16,ronnie-bell,Ronnie Bell,WR,WR,SF,Baltimore Ravens,3000,4300,8.2,7.7,ronnie bell
2023,REG,17,12123,davante adams,LA,1,Davante Adams(LAR),3,5,0.6,0,4.7,0,0.625,0,0.0,0,1,13.4,13.4,0.965,davante adams,davante adams_2023_17,2023,17,davante-adams,Davante Adams,WR,WR,LV,San Francisco 49ers,8500,8500,37.3,30.8,davante adams
2023,REG,17,12123,davante adams,LA,1,Davante Adams(LAR),3,5,0.6,0,4.7,0,0.625,0,0.0,0,1,13.4,13.4,0.965,davante adams,davante adams_2023_17,2023,17,davante-adams,Davante Adams,WR,WR,LV,Indianapolis Colts,7400,7200,40.6,31.1,davante adams
2023,REG,17,18244,deebo samuel sr.,WAS,2,Deebo Samuel Sr.(WAS),4,5,0.8,0,5.3,0,0.714,0,0.0,0,1,8.1,8.1,0.839,deebo samuel sr,deebo samuel sr_2023_17,,,,,,,,,,,,,
2023,REG,17,19799,amon-ra st. brown,DET,3,Amon-Ra St. Brown(DET),2,2,1.0,0,10.0,0,1.0,0,0.0,0,1,8.0,8.0,0.996,amonra st brown,amonra st brown_2023_17,2023,17,amon-ra-st-brown,Amon-Ra St. Brown,WR,WR,DET,Chicago Bears,7800,8200,10.2,8.2,amonra st brown
2023,REG,17,19799,amon-ra st. brown,DET,3,Amon-Ra St. Brown(DET),2,2,1.0,0,10.0,0,1.0,0,0.0,0,1,8.0,8.0,0.996,amonra st brown,amonra st brown_2023_17,2023,17,amon-ra-st-brown,Amon-Ra St. Brown,WR,WR,DET,Dallas Cowboys,8400,8600,22.1,19.1,amonra st brown
2023,REG,17,19252,brandon aiyuk,SF,4,Brandon Aiyuk(SF),1,2,0.5,0,17.0,0,0.286,0,0.0,0,1,7.7,7.7,0.55,brandon aiyuk,brandon aiyuk_2023_17,2023,17,brandon-aiyuk,Brandon Aiyuk,WR,WR,SF,Las Vegas Raiders,6300,6600,29.7,22.2,brandon aiyuk
2023,REG,17,19252,brandon aiyuk,SF,4,Brandon Aiyuk(SF),1,2,0.5,0,17.0,0,0.286,0,0.0,0,1,7.7,7.7,0.55,brandon aiyuk,brandon aiyuk_2023_17,2023,17,brandon-aiyuk,Brandon Aiyuk,WR,WR,SF,Washington Commanders,7000,7500,27.4,20.9,brandon aiyuk
2023,REG,17,23070,jaxon smith-njigba,SEA,5,Jaxon Smith-Njigba(SEA),1,1,1.0,0,12.0,0,0.25,0,0.0,0,1,7.2,7.2,0.979,jaxon smithnjigba,jaxon smithnjigba_2023_17,2023,17,jaxon-smith-njigba,Jaxon Smith-Njigba,WR,WR,SEA,Pittsburgh Steelers,4800,5800,8.2,7.7,jaxon smithnjigba
2023,REG,17,9867,julio jones,FA,6,Julio Jones(FA),1,1,1.0,0,12.0,0,1.0,0,0.0,0,1,7.2,7.2,0.006,julio jones,julio jones_2023_17,2023,17,julio-jones,Julio Jones,WR,WR,TB,Carolina Panthers,3900,5300,3.3,2.8,julio jones
2023,REG,17,9867,julio jones,FA,6,Julio Jones(FA),1,1,1.0,0,12.0,0,1.0,0,0.0,0,1,7.2,7.2,0.006,julio jones,julio jones_2023_17,2023,17,julio-jones,Julio Jones,WR,WR,PHI,Arizona Cardinals,3000,4700,17.4,16.4,julio jones
2023,REG,17,24049,bo melton,GB,7,Bo Melton(GB),1,2,0.5,0,9.0,0,0.5,0,0.0,0,1,6.9,6.9,0.008,bo melton,bo melton_2023_17,2023,17,bo-melton,Bo Melton,WR,WR,GB,Minnesota Vikings,3000,4000,25.5,19.5,bo melton
2023,REG,17,17262,cedrick wilson jr.,NO,8,Cedrick Wilson Jr.(NO),1,1,1.0,0,8.0,0,0.2,0,0.0,0,1,6.8,6.8,0.011,cedrick wilson jr,cedrick wilson jr_2023_17,,,,,,,,,,,,,
2023,REG,18,24353,a.t. perry,DEN,1,A.T. Perry(DEN),2,2,1.0,0,12.0,0,0.667,0,0.0,0,1,14.4,14.4,0.016,at perry,at perry_2023_18,2023,18,a-t-perry,A.T. Perry,WR,WR,NO,Atlanta Falcons,3300,4600,20.3,18.8,at perry
2023,REG,18,24354,dontayvion wicks,GB,2,Dontayvion Wicks(GB),2,2,1.0,0,11.0,0,0.4,0,0.0,0,1,14.2,14.2,0.084,dontayvion wicks,dontayvion wicks_2023_18,2023,18,dontayvion-wicks,Dontayvion Wicks,WR,WR,GB,Chicago Bears,4600,5500,24.1,21.1,dontayvion wicks
2023,REG,18,19202,ceedee lamb,DAL,3,CeeDee Lamb(DAL),5,5,1.0,0,3.2,0,0.5,0,0.0,0,1,13.6,13.6,0.994,ceedee lamb,ceedee lamb_2023_18,2023,18,ceedee-lamb,CeeDee Lamb,WR,WR,DAL,Washington Commanders,9300,10000,35.5,29.0,ceedee lamb
2023,REG,18,25335,andrei iosivas,CIN,4,Andrei Iosivas(CIN),2,2,1.0,0,5.0,0,1.0,0,0.0,0,1,13.0,13.0,0.057,andrei iosivas,andrei iosivas_2023_18,2023,18,andrei-iosivas,Andrei Iosivas,WR,WR,CIN,Cleveland Browns,3000,4600,20.6,18.1,andrei iosivas
2023,REG,18,23180,puka nacua,LA,5,Puka Nacua(LAR),1,1,1.0,0,19.0,0,0.333,0,0.0,0,1,7.9,7.9,0.994,puka nacua,puka nacua_2023_18,2023,18,puka-nacua,Puka Nacua,WR,WR,LA,San Francisco 49ers,7800,7700,14.1,12.1,puka nacua
2023,REG,18,18706,darius slayton,NYG,6,Darius Slayton(NYG),1,2,0.5,0,19.0,0,0.667,0,0.0,0,1,7.9,7.9,0.072,darius slayton,darius slayton_2023_18,2023,18,darius-slayton,Darius Slayton,WR,WR,NYG,Philadelphia Eagles,4000,5700,17.2,14.7,darius slayton
2023,REG,18,12122,brandin cooks,NO,7,Brandin Cooks(NO),2,3,0.667,3,6.5,0,0.3,1,1.0,0,1,7.6,7.6,0.048,brandin cooks,brandin cooks_2023_18,2023,18,brandin-cooks,Brandin Cooks,WR,WR,DAL,Washington Commanders,5200,6300,16.2,13.2,brandin cooks
2023,REG,18,19715,quez watkins,FA,8,Quez Watkins(FA),1,1,1.0,0,16.0,0,0.333,0,0.0,0,1,7.6,7.6,0.0,quez watkins,quez watkins_2023_18,2023,18,quez-watkins,Quez Watkins,WR,WR,PHI,New York Giants,3400,4400,23.3,19.3,quez watkins
