season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %
2017,REG,7,11611,Kenny Stills,FA,8,Kenny Stills(FA),2,2,100.0%,0,5.0,0,66.7%,0,0%,0,1,7.0,7.0,0.0%
2017,REG,8,12129,Paul Richardson Jr.,FA,1,Paul Richardson Jr.(FA),3,4,75.0%,0,12.0,0,80.0%,0,0%,0,1,15.6,15.6,0.0%
2017,REG,8,15629,William Fuller V,FA,2,William Fuller V(FA),1,1,100.0%,0,20.0,0,50.0%,0,0%,0,1,8.0,8.0,0.0%
2017,REG,8,13429,Adam Thielen,CAR,3,Adam Thielen(CAR),1,2,50.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,36.4%
2017,REG,8,11406,Andre Holmes,FA,4,Andre Holmes(FA),2,2,100.0%,0,7.5,0,100.0%,0,0%,0,1,7.5,7.5,0.0%
2017,REG,8,9857,A.J. Green,FA,5,A.J. Green(FA),1,3,33.3%,0,8.0,0,75.0%,0,0%,0,1,6.8,6.8,0.7%
2017,REG,8,11200,Mohamed Sanu Sr.,FA,6,Mohamed Sanu Sr.(FA),1,1,100.0%,0,8.0,0,33.3%,0,0%,0,1,6.8,6.8,0.0%
2017,REG,8,15511,Josh Doctson,FA,7,Josh Doctson(FA),1,1,100.0%,0,1.0,0,50.0%,0,0%,0,1,6.1,6.1,0.0%
2017,REG,8,13081,Bennie Fowler III,FA,8,Bennie Fowler III(FA),1,2,50.0%,0,6.0,0,100.0%,0,0%,0,1,0.6,0.6,0.0%
2017,REG,9,11459,Cole Beasley,FA,1,Cole Beasley(FA),2,2,100.0%,0,6.5,0,50.0%,0,0%,0,1,13.3,13.3,0.0%
2017,REG,9,9691,Demaryius Thomas,FA,2,Demaryius Thomas(FA),3,3,100.0%,0,7.3,0,75.0%,0,0%,0,1,8.2,8.2,0.1%
2017,REG,9,11380,Rishard Matthews,FA,3,Rishard Matthews(FA),1,1,100.0%,0,16.0,0,25.0%,0,0%,0,1,7.6,7.6,0.0%
2017,REG,9,9708,Eric Decker,FA,4,Eric Decker(FA),2,2,100.0%,0,6.0,0,50.0%,0,0%,0,1,7.2,7.2,0.6%
2017,REG,9,11215,Marvin Jones Jr.,FA,5,Marvin Jones Jr.(FA),1,2,50.0%,0,11.0,0,66.7%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,9,16431,Zay Jones,ARI,6,Zay Jones(ARI),1,1,100.0%,0,10.0,0,50.0%,0,0%,0,1,7.0,7.0,1.0%
2017,REG,9,12120,Marqise Lee,FA,7,Marqise Lee(FA),2,3,66.7%,0,4.0,0,75.0%,0,0%,0,1,6.8,6.8,1.0%
2017,REG,9,12128,Jarvis Landry,FA,8,Jarvis Landry(FA),1,1,100.0%,0,6.0,0,50.0%,0,0%,0,1,6.6,6.6,7.1%
2017,REG,10,12123,Davante Adams,LA,1,Davante Adams(LAR),2,3,66.7%,0,11.0,0,100.0%,0,0.0%,0,1,8.2,8.2,96.5%
2017,REG,10,9353,Kenny Britt,FA,2,Kenny Britt(FA),1,1,100.0%,0,19.0,0,50.0%,0,0%,0,1,7.9,7.9,0.0%
2017,REG,10,12118,Sammy Watkins,FA,3,Sammy Watkins(FA),1,1,100.0%,0,17.0,0,33.3%,0,0%,0,1,7.7,7.7,0.0%
2017,REG,10,11610,Robert Woods,PIT,4,Robert Woods(PIT),2,2,100.0%,0,7.5,0,66.7%,0,0%,0,1,7.5,7.5,0.8%
2017,REG,10,15830,Roger Lewis,FA,5,Roger Lewis(FA),1,2,50.0%,0,14.0,0,66.7%,0,0%,0,1,7.4,7.4,0.0%
2017,REG,10,12128,Jarvis Landry,FA,6,Jarvis Landry(FA),1,2,50.0%,0,9.0,0,66.7%,0,0%,0,1,6.9,6.9,7.1%
2017,REG,10,9691,Demaryius Thomas,FA,7,Demaryius Thomas(FA),1,1,100.0%,0,7.0,0,50.0%,0,0%,0,1,6.7,6.7,0.1%
2017,REG,10,16427,JuJu Smith-Schuster,KC,8,JuJu Smith-Schuster(KC),1,1,100.0%,0,7.0,0,100.0%,0,0%,0,1,6.7,6.7,1.5%
2017,REG,11,9808,Antonio Brown,FA,1,Antonio Brown(FA),3,4,75.0%,0,7.0,0,50.0%,0,0%,0,1,14.1,14.1,1.0%
2017,REG,11,9383,Larry Fitzgerald,FA,2,Larry Fitzgerald(FA),1,1,100.0%,0,20.0,0,100.0%,0,0%,0,1,8.0,8.0,0.8%
2017,REG,11,9857,A.J. Green,FA,3,A.J. Green(FA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.7%
2017,REG,11,11199,Alshon Jeffery,FA,4,Alshon Jeffery(FA),1,2,50.0%,0,17.0,0,40.0%,0,0%,0,1,7.7,7.7,0.0%
2017,REG,11,9691,Demaryius Thomas,FA,5,Demaryius Thomas(FA),1,1,100.0%,0,17.0,0,50.0%,0,0%,0,1,7.7,7.7,0.1%
2017,REG,11,12128,Jarvis Landry,FA,6,Jarvis Landry(FA),2,3,66.7%,0,7.0,0,42.9%,0,0%,0,1,7.4,7.4,7.1%
2017,REG,11,9884,Torrey Smith,FA,7,Torrey Smith(FA),1,1,100.0%,0,11.0,0,20.0%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,11,13894,Amari Cooper,FA,8,Amari Cooper(FA),1,1,100.0%,0,9.0,0,25.0%,0,0%,0,1,6.9,6.9,9.1%
2017,REG,12,13976,Jamison Crowder,FA,1,Jamison Crowder(FA),2,2,100.0%,0,12.5,0,50.0%,0,0%,0,1,8.5,8.5,1.0%
2017,REG,12,12338,Albert Wilson,FA,2,Albert Wilson(FA),1,1,100.0%,0,19.0,0,100.0%,0,0%,0,1,7.9,7.9,0.0%
2017,REG,12,12136,Martavis Bryant,FA,3,Martavis Bryant(FA),1,2,50.0%,1,17.0,0,33.3%,1,100.0%,0,1,7.8,7.8,1.1%
2017,REG,12,11548,Jermaine Kearse,FA,4,Jermaine Kearse(FA),2,2,100.0%,0,8.5,0,100.0%,0,0%,0,1,7.7,7.7,0.0%
2017,REG,12,13969,Nelson Agholor,FA,5,Nelson Agholor(FA),1,1,100.0%,0,15.0,0,33.3%,0,0%,0,1,7.5,7.5,1.0%
2017,REG,12,15511,Josh Doctson,FA,6,Josh Doctson(FA),1,1,100.0%,0,14.0,0,25.0%,0,0%,0,1,7.4,7.4,0.0%
2017,REG,12,9808,Antonio Brown,FA,7,Antonio Brown(FA),2,2,100.0%,0,6.0,0,33.3%,0,0.0%,0,1,7.2,7.2,1.0%
2017,REG,12,16431,Zay Jones,ARI,8,Zay Jones(ARI),1,1,100.0%,0,11.0,0,100.0%,0,0%,0,1,7.1,7.1,1.0%
2017,REG,13,9857,A.J. Green,FA,1,A.J. Green(FA),2,5,40.0%,0,11.5,0,83.3%,0,0%,0,1,14.3,14.3,0.7%
2017,REG,13,11616,Keenan Allen,LAC,2,Keenan Allen(LAC),4,7,57.1%,0,6.3,0,87.5%,0,0%,0,1,8.5,8.5,43.2%
